,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,56,26,60061487557,1837761501,1,1,"(0.33655846118927, 0.16593939065933228)","(0.35675308108329773, 0.23605628311634064)",1,1,2.39715576171875,2.8164825439453125,"(-38.672447204589844, 58.48957824707031, 648.94091796875)","(28.91120147705078, 55.875022888183594, 650.1196899414062)","(-58.09284210205078, 169.84573364257812, 51.17694091796875)","(-51.11507797241211, 157.039794921875, 46.51600646972656)",POINT (0.3466557711362839 0.2009978368878365),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061504227,1837778170,1,1,"(0.32588380575180054, 0.18750666081905365)","(0.3606782555580139, 0.23712705075740814)",1,1,2.38592529296875,2.839096069335937,"(-38.69965362548828, 58.582275390625, 649.453857421875)","(28.88835906982422, 56.01089096069336, 650.68505859375)","(-61.78119659423828, 165.90673828125, 49.743324279785156)","(-49.75884246826172, 156.84423828125, 46.4448127746582)",POINT (0.3432810306549072 0.2123168557882309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061520894,1837794837,1,1,"(0.3313901722431183, 0.16897302865982056)","(0.35763415694236755, 0.23260921239852905)",1,1,2.4073486328125,2.824569702148437,"(-38.75181579589844, 58.63034439086914, 649.9414672851562)","(28.84685516357422, 56.13063049316406, 651.3699340820312)","(-59.87860870361328, 169.2916717529297, 50.975303649902344)","(-50.81065368652344, 157.66934204101562, 46.74518585205078)",POINT (0.3445121645927429 0.2007911205291748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061537567,1837811509,1,1,"(0.3311695456504822, 0.16227254271507263)","(0.35286998748779297, 0.23308096826076508)",1,1,2.3927459716796875,2.8067626953125,"(-38.816429138183594, 58.625, 650.4044799804688)","(28.792600631713867, 56.18266677856445, 651.7979736328125)","(-59.9548454284668, 170.51541137695312, 51.420753479003906)","(-52.45679473876953, 157.58319091796875, 46.71380615234375)",POINT (0.3420197665691376 0.1976767554879188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061554234,1837828176,1,1,"(0.33991295099258423, 0.1835920661687851)","(0.3616042733192444, 0.23583799600601196)",1,1,2.4017791748046875,2.8408660888671875,"(-38.895263671875, 58.56715393066406, 650.6765747070312)","(28.705448150634766, 56.175872802734375, 651.9698486328125)","(-56.93377685546875, 166.6217041015625, 50.00349044799805)","(-49.438873291015625, 157.0796661376953, 46.53050994873047)",POINT (0.3507586121559143 0.2097150310873985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061570902,1837844843,1,1,"(0.3332412540912628, 0.17987580597400665)","(0.3557990491390228, 0.24814876914024353)",1,1,2.3831939697265625,2.839813232421875,"(-38.973854064941406, 58.43672561645508, 650.8800659179688)","(28.628646850585938, 56.11589050292969, 652.11767578125)","(-59.239017486572266, 167.30043029785156, 50.250526428222656)","(-51.444732666015625, 154.8312530517578, 45.71218490600586)",POINT (0.3445201516151428 0.2140122875571251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061587568,1837861509,1,1,"(0.3940032720565796, 0.20063062012195587)","(0.42638522386550903, 0.24037013947963715)",1,1,2.429428100585937,2.822662353515625,"(-38.91010284423828, 58.299320220947266, 651.1715087890625)","(28.689571380615234, 55.99267578125, 652.3258666992188)","(-38.24419403076172, 163.50982666015625, 48.87089157104492)","(-27.055423736572266, 156.2519073486328, 46.22930145263672)",POINT (0.4101942479610443 0.2205003798007965),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061604237,1837878176,1,1,"(0.38594329357147217, 0.17386101186275482)","(0.4272107183933258, 0.2405286580324173)",1,1,2.3758087158203125,2.8261871337890625,"(-38.95288848876953, 58.086673736572266, 651.2127075195312)","(28.655792236328125, 55.8321533203125, 652.4461059570312)","(-41.02912521362305, 168.39892578125, 50.65043258666992)","(-26.77018928527832, 156.22296142578125, 46.2187385559082)",POINT (0.406577005982399 0.2071948349475861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061620904,1837894843,1,1,"(0.38167551159858704, 0.1693292260169983)","(0.42632782459259033, 0.24200551211833954)",1,1,2.3675689697265625,2.8489990234375,"(-39.07846450805664, 57.797454833984375, 651.27001953125)","(28.545698165893555, 55.63520050048828, 652.384521484375)","(-42.503746032714844, 169.22659301757812, 50.95168685913086)","(-27.07524871826172, 155.95326232910156, 46.12049102783203)",POINT (0.4040016680955887 0.2056673690676689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061637571,1837911509,1,1,"(0.40321382880210876, 0.1810595691204071)","(0.4307912588119507, 0.2356579750776291)",1,1,2.406494140625,2.826522827148437,"(-39.179405212402344, 57.48036193847656, 650.9053955078125)","(28.446674346923828, 55.37773132324219, 652.2276611328125)","(-35.06172180175781, 167.08421325683594, 50.17188262939453)","(-25.53301239013672, 157.11253356933594, 46.54249954223633)",POINT (0.4170025438070297 0.2083587720990181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
