,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,31,21,356824209641,5152391757,1,1,"(0.5118734836578369, 0.8298745155334473)","(0.4821065068244934, 0.8102272152900696)",1,1,4.056198120117188,3.823455810546875,"(-46.50813293457031, 7.092857360839844, 672.6396484375)","(19.346717834472656, 6.524557590484619, 672.791259765625)","(4.385318279266357, 48.67770767211914, 7.075468063354492)","(-5.9300312995910645, 52.27653503417969, 8.385315895080566)",POINT (0.4969899952411652 0.8200508654117584),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824226309,5152408424,1,1,"(0.5130112767219543, 0.8144645094871521)","(0.4924333691596985, 0.8515109419822693)",1,1,4.067474365234375,3.763748168945313,"(-46.46181106567383, 7.1258440017700195, 672.8860473632812)","(19.388490676879883, 6.5639729499816895, 672.938720703125)","(4.779612064361572, 51.5003776550293, 8.102814674377441)","(-2.3513779640197754, 44.71453094482422, 5.632991313934326)",POINT (0.5027223229408264 0.8329877257347107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824242975,5152425090,1,1,"(0.5184453129768372, 0.8072535395622253)","(0.4903374910354614, 0.862204909324646)",1,1,4.063507080078125,3.763427734375,"(-46.397186279296875, 7.130819320678711, 673.059326171875)","(19.46939468383789, 6.568702697753906, 673.1595458984375)","(6.662692070007324, 52.821231842041016, 8.583535194396973)","(-3.077681303024292, 42.755706787109375, 4.920008659362793)",POINT (0.5043914020061493 0.8347292244434357),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824259643,5152441757,1,1,"(0.5057744979858398, 0.7902909517288208)","(0.4941856861114502, 0.8388439416885376)",1,1,4.094985961914063,3.790054321289064,"(-46.315406799316406, 7.15879487991333, 673.34912109375)","(19.53700065612793, 6.583400726318359, 673.3310546875)","(2.2717974185943604, 55.928279876708984, 9.714444160461426)","(-1.7441433668136597, 47.0347785949707, 6.477454662322998)",POINT (0.499980092048645 0.8145674467086792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824276311,5152458424,1,1,"(0.5202631950378418, 0.8063246011734009)","(0.4872974455356598, 0.8447948098182678)",1,1,4.0785980224609375,3.782394409179688,"(-46.221595764160156, 7.1788330078125, 673.5518798828125)","(19.63396453857422, 6.585614204406738, 673.4259033203125)","(7.292665004730225, 52.99138259887695, 8.645498275756836)","(-4.131174087524414, 45.94473648071289, 6.080746173858643)",POINT (0.5037803202867508 0.8255597054958344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824292985,5152475097,1,1,"(0.5067810416221619, 0.7937271595001221)","(0.48577624559402466, 0.8205879926681519)",1,1,4.082550048828125,3.800323486328125,"(-46.08910369873047, 7.199694633483887, 673.7608642578125)","(19.753890991210938, 6.587175369262695, 673.6824951171875)","(2.6206114292144775, 55.29885482788086, 9.485370635986328)","(-4.658323764801025, 50.378746032714844, 7.694552421569824)",POINT (0.4962786436080933 0.807157576084137),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824309652,5152491764,1,1,"(0.5104639530181885, 0.8009873628616333)","(0.48997023701667786, 0.83111971616745)",1,1,4.076950073242188,3.789871215820313,"(-45.96586608886719, 7.224493026733398, 674.1455688476562)","(19.88764762878418, 6.580226421356201, 673.975830078125)","(3.8968513011932373, 53.969024658203125, 9.001303672790527)","(-3.204953908920288, 48.44963073730469, 6.9924445152282715)",POINT (0.5002170950174332 0.8160535395145416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824326320,5152508431,1,1,"(0.5135932564735413, 0.8004368543624878)","(0.49096986651420593, 0.8326500654220581)",1,1,4.0843505859375,3.7762451171875,"(-45.8093376159668, 7.280094623565674, 674.2313232421875)","(20.024168014526367, 6.6012091636657715, 674.1187744140625)","(4.981287002563477, 54.069847106933594, 9.038040161132812)","(-2.8585586547851562, 48.16930389404297, 6.890427589416504)",POINT (0.5022815614938736 0.816543459892273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824342986,5152525097,1,1,"(0.5157075524330139, 0.7990354895591736)","(0.49123087525367737, 0.8217114210128784)",1,1,4.1009368896484375,3.794921875,"(-45.65696716308594, 7.320461750030518, 674.481201171875)","(20.18124008178711, 6.610238075256348, 674.5369873046875)","(5.7139692306518555, 54.326534271240234, 9.13145637512207)","(-2.7680904865264893, 50.17295837402344, 7.619697570800781)",POINT (0.5034692138433456 0.810373455286026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824359653,5152541763,1,1,"(0.5181936025619507, 0.7924038767814636)","(0.4922386109828949, 0.8142279982566833)",1,1,4.089126586914063,3.797531127929688,"(-45.5106315612793, 7.37066650390625, 674.8948364257812)","(20.330472946166992, 6.624757766723633, 674.84326171875)","(6.5754570960998535, 55.54124450683594, 9.57360553741455)","(-2.418884515762329, 51.54368209838867, 8.118633270263672)",POINT (0.5052161067724228 0.8033159375190735),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824376321,5152558430,1,1,"(0.5168653130531311, 0.7942370176315308)","(0.4979783892631531, 0.8156063556671143)",1,1,4.11236572265625,3.811294555664064,"(-45.35707092285156, 7.414877891540527, 675.1839599609375)","(20.473222732543945, 6.608546733856201, 675.08642578125)","(6.115163326263428, 55.20546340942383, 9.451363563537598)","(-0.4298427402973175, 51.29122543334961, 8.026702880859375)",POINT (0.5074218511581421 0.8049216866493225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824392988,5152575096,1,1,"(0.4693540930747986, 0.6650270819664001)","(0.4738228917121887, 0.6917263269424438)",1,1,4.084930419921875,3.7665863037109375,"(-45.287376403808594, 7.658048152923584, 675.484375)","(20.54315757751465, 6.812460422515869, 675.4227294921875)","(-10.349191665649414, 78.8730239868164, 18.06566619873047)","(-8.800599098205566, 73.98247528076172, 16.285640716552734)",POINT (0.4715884923934936 0.678376704454422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,21,356824409655,5152591763,1,1,"(0.4545856714248657, 0.4533745348453522)","(0.4679277539253235, 0.4889180362224579)",1,1,4.034271240234375,3.659957885742188,"(-45.16962814331055, 8.007827758789062, 675.8055419921875)","(20.602218627929688, 7.164431095123291, 675.784912109375)","(-15.466988563537598, 117.64166259765625, 32.176361083984375)","(-10.843483924865723, 111.13115692138672, 29.806636810302734)",POINT (0.4612567126750946 0.471146285533905),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
