,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,34,10,70572450883,951508654,1,1,"(0.45410609245300293, 0.42148756980895996)","(0.48650607466697693, 0.46197348833084106)",1,1,2.574462890625,2.544830322265625,"(-46.507545471191406, -59.07661056518555, 733.6378173828125)","(17.913461685180664, -53.632408142089844, 734.1182861328125)","(-15.633187294006348, 123.48248291015625, 34.30213165283203)","(-4.405407428741455, 116.0666275024414, 31.602989196777344)",POINT (0.4703060835599899 0.4417305290699005),,,,,,,,,,,,
0,34,10,70572467551,951525321,1,1,"(0.44603458046913147, 0.43896201252937317)","(0.4749130308628082, 0.4477767050266266)",1,1,2.596923828125,2.53070068359375,"(-46.48897933959961, -59.086700439453125, 733.6246337890625)","(17.93539047241211, -53.641136169433594, 734.0279541015625)","(-18.43027114868164, 120.28165435791016, 33.137168884277344)","(-8.422833442687988, 118.66706085205078, 32.549495697021484)",POINT (0.4604738056659698 0.4433693587779999),,,,,,,,,,,,
0,34,10,70572484218,951541988,1,1,"(0.45422857999801636, 0.4202125370502472)","(0.47458672523498535, 0.4872147738933563)",1,1,2.576202392578125,2.570098876953125,"(-46.469940185546875, -59.085086822509766, 733.5675048828125)","(17.957061767578125, -53.63056564331055, 733.95263671875)","(-15.590739250183105, 123.71601104736328, 34.387184143066406)","(-8.535901069641113, 111.44314575195312, 29.920177459716797)",POINT (0.4644076526165008 0.4537136554718018),,,,,,,,,,,1,
0,34,10,70572500885,951558654,1,1,"(0.44509804248809814, 0.44323450326919556)","(0.47733765840530396, 0.4838589131832123)",1,1,2.5548248291015625,2.578460693359375,"(-46.470455169677734, -59.108604431152344, 733.5972900390625)","(17.96235466003418, -53.6480598449707, 733.9677734375)","(-18.754802703857422, 119.49905395507812, 32.85233688354492)","(-7.5825958251953125, 112.0578384399414, 30.1439266204834)",POINT (0.461217850446701 0.4635467082262039),,,,,,,,,,,1,
0,34,10,70572517552,951575321,1,1,"(0.45329561829566956, 0.43681204319000244)","(0.4732784926891327, 0.4695369601249695)",1,1,2.600677490234375,2.5318756103515625,"(-46.46584701538086, -59.11602783203125, 733.478515625)","(17.964515686035156, -53.65214157104492, 733.9373779296875)","(-15.914037704467773, 120.67545318603516, 33.2805290222168)","(-8.989255905151367, 114.68121337890625, 31.098751068115234)",POINT (0.4632870554924011 0.453174501657486),,,,,,,,,,,1,
0,34,10,70572534226,951591994,1,1,"(0.450217604637146, 0.42614299058914185)","(0.4812607765197754, 0.4667714238166809)",1,1,2.587310791015625,2.545196533203125,"(-46.469940185546875, -59.132606506347656, 733.4779052734375)","(17.965465545654297, -53.664939880371094, 733.8929443359375)","(-16.98069190979004, 122.6297378540039, 33.99177169799805)","(-6.2230987548828125, 115.18775939941406, 31.283178329467773)",POINT (0.4657391905784607 0.4464572072029114),,,,,,,,,,,,
0,34,10,70572550892,951608660,1,1,"(0.4453190863132477, 0.4387300908565521)","(0.4774797558784485, 0.45274433493614197)",1,1,2.5998077392578125,2.533905029296875,"(-46.477542877197266, -59.130435943603516, 733.5068969726562)","(17.968040466308594, -53.66615295410156, 733.9075927734375)","(-18.678203582763672, 120.32412719726562, 33.15264129638672)","(-7.533360958099365, 117.75712585449219, 32.21832275390625)",POINT (0.4613994210958481 0.445737212896347),,,,,,,,,,,,
0,34,10,70572567560,951625327,1,1,"(0.4587283134460449, 0.42141813039779663)","(0.48154112696647644, 0.4730461835861206)",1,1,2.5595855712890625,2.5453033447265625,"(-46.474151611328125, -59.107994079589844, 733.4771728515625)","(17.972225189208984, -53.65269470214844, 733.9072265625)","(-14.031420707702637, 123.49518585205078, 34.30681610107422)","(-6.125950336456299, 114.03840637207031, 30.864818572998047)",POINT (0.4701347202062607 0.4472321569919586),,,,,,,,,,,,
0,34,10,70572584227,951641994,1,1,"(0.4530606269836426, 0.4478851556777954)","(0.4852425754070282, 0.47373420000076294)",1,1,2.5872955322265625,2.5660400390625,"(-46.48263931274414, -59.083152770996094, 733.4757690429688)","(17.968639373779297, -53.63127517700195, 733.937255859375)","(-15.995475769042969, 118.64718627929688, 32.54227828979492)","(-4.843254566192627, 113.91238403320312, 30.818950653076172)",POINT (0.4691516011953354 0.4608096778392792),,,,,,,,,,,1,
0,34,10,70572600894,951658660,1,1,"(0.4587879180908203, 0.4397364556789398)","(0.48076286911964417, 0.4691384434700012)",1,1,2.578399658203125,2.55029296875,"(-46.4862174987793, -59.07792663574219, 733.5202026367188)","(17.96658706665039, -53.629093170166016, 733.966796875)","(-14.010767936706543, 120.1397933959961, 33.085548400878906)","(-6.395650386810303, 114.75420379638672, 31.125341415405273)",POINT (0.4697753936052322 0.4544374495744705),,,,,,,,,,,1,
