,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,37,26,765390609182,1367453176,1,1,"(0.6807788610458374, 0.32768699526786804)","(0.6427550911903381, 0.284992516040802)",1,1,2.7935943603515625,2.650238037109375,"(-94.5226058959961, 26.70880699157715, 649.0894775390625)","(-25.43998908996582, 33.22808074951172, 653.9325561523438)","(60.844017028808594, 140.30462646484375, 40.424964904785156)","(47.705833435058594, 148.10223388671875, 43.26299285888672)",POINT (0.6617669761180878 0.306339755654335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390625849,1367469843,1,1,"(0.6791031360626221, 0.3460034728050232)","(0.6408725380897522, 0.26710742712020874)",1,1,2.814849853515625,2.644287109375,"(-94.49628448486328, 26.668365478515625, 649.0860595703125)","(-25.417085647583008, 33.196022033691406, 653.9346313476562)","(60.26499938964844, 136.95938110351562, 39.20737075805664)","(47.05537414550781, 151.36871337890625, 44.45193099975586)",POINT (0.6599878370761871 0.306555449962616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390642517,1367486510,1,1,"(0.6847569942474365, 0.3326152563095093)","(0.638308584690094, 0.26994362473487854)",1,1,2.80499267578125,2.646957397460937,"(-94.48731994628906, 26.63805389404297, 649.1375122070312)","(-25.395444869995117, 33.164432525634766, 653.9366455078125)","(62.21855163574219, 139.40455627441406, 40.09736633300781)","(46.1694450378418, 150.8507080078125, 44.263397216796875)",POINT (0.6615327894687653 0.3012794405221939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390659191,1367503184,1,1,"(0.6749209761619568, 0.3404928147792816)","(0.6400972604751587, 0.2783048748970032)",1,1,2.822021484375,2.6403350830078125,"(-94.46205139160156, 26.598861694335938, 649.1455078125)","(-25.375164031982422, 33.14226531982422, 653.9501342773438)","(58.819984436035156, 137.96585083007812, 39.57364273071289)","(46.78746795654297, 149.3236541748047, 43.70758056640625)",POINT (0.6575091183185577 0.3093988448381424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390675859,1367519851,1,1,"(0.6785123348236084, 0.34888285398483276)","(0.6403114795684814, 0.29172685742378235)",1,1,2.821395874023437,2.664031982421875,"(-94.44570922851562, 26.571460723876953, 649.2236328125)","(-25.357126235961914, 33.132080078125, 653.9871826171875)","(60.06086349487305, 136.43353271484375, 39.01591110229492)","(46.86151123046875, 146.87229919433594, 42.81534194946289)",POINT (0.6594119071960449 0.3203048557043076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390692525,1367536517,1,1,"(0.6834053993225098, 0.3123481273651123)","(0.6432042121887207, 0.264824241399765)",1,1,2.7940673828125,2.62811279296875,"(-94.44242858886719, 26.549468994140625, 649.2977905273438)","(-25.350730895996094, 33.12657928466797, 653.99951171875)","(61.751529693603516, 143.10609436035156, 41.44456481933594)","(47.86101150512695, 151.78570556640625, 44.60368347167969)",POINT (0.6633048057556152 0.2885861843824387),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,26,765390709193,1367553184,1,1,"(0.6711516380310059, 0.33563753962516785)","(0.6200927495956421, 0.3110063076019287)",1,1,2.77947998046875,2.675506591796875,"(-94.45516204833984, 26.5257511138916, 649.3302001953125)","(-25.365863800048828, 33.112701416015625, 653.9854125976562)","(57.5175666809082, 138.8526153564453, 39.89640426635742)","(39.87541198730469, 143.35116577148438, 41.53379440307617)",POINT (0.645622193813324 0.3233219236135483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390725860,1367569851,1,1,"(0.6675425171852112, 0.37320762872695923)","(0.6211215257644653, 0.29756930470466614)",1,1,2.80322265625,2.6546783447265625,"(-94.445556640625, 26.549537658691406, 649.357421875)","(-25.340736389160156, 33.13140869140625, 653.9170532226562)","(56.27052307128906, 131.99090576171875, 37.398983001708984)","(40.23090362548828, 145.80523681640625, 42.42698669433594)",POINT (0.6443320214748383 0.3353884667158127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390742527,1367586517,1,1,"(0.6671662330627441, 0.36237573623657227)","(0.6190832257270813, 0.31317684054374695)",1,1,2.8001251220703125,2.67877197265625,"(-94.44049072265625, 26.586015701293945, 649.37060546875)","(-25.330768585205078, 33.16460418701172, 653.9058227539062)","(56.1405029296875, 133.96922302246094, 38.1190071105957)","(39.52659606933594, 142.95474243164062, 41.38948059082031)",POINT (0.6431247293949127 0.3377762883901596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,26,765390759194,1367603184,1,1,"(0.6684460043907166, 0.3373962640762329)","(0.6185753345489502, 0.3109954595565796)",1,1,2.776824951171875,2.67974853515625,"(-94.45011901855469, 26.623233795166016, 649.368408203125)","(-25.333080291748047, 33.20992660522461, 653.8226318359375)","(56.582679748535156, 138.53138732910156, 39.779510498046875)","(39.35111999511719, 143.3531494140625, 41.53445816040039)",POINT (0.6435106694698334 0.3241958618164062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
