,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,-----------.5,define.1,afunc.1,terms.1,  .1,if.1,zero.1,terms.2,1.1,+.1,expt.1,/.1,-1.1,2.1,terms.3,afunc.2,-.1,terms.4,1.2,-----------.10,-----------.11,-----------.12,-----------.13,question,code,choices
0,29,33,757847282394,2410129992,1,1,"(0.38145729899406433, 0.18672415614128113)","(0.36992785334587097, 0.12238702923059464)",1,1,2.46484375,2.133758544921875,"(-58.65105438232422, -65.50859069824219, 579.754150390625)","(5.757401943206787, -71.75281524658203, 585.2243041992188)","(-42.579158782958984, 166.04966735839844, 49.79529571533203)","(-46.5628662109375, 177.7999725341797, 54.07210922241211)",POINT (0.3756925761699676 0.1545555926859379),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847299061,2410146658,1,1,"(0.3810935616493225, 0.15577919781208038)","(0.36402463912963867, 0.12925216555595398)",1,1,2.4104461669921875,2.138153076171875,"(-58.66107177734375, -65.51741790771484, 579.7525634765625)","(5.763257026672363, -71.74600982666016, 585.1295166015625)","(-42.704830169677734, 171.7013397216797, 51.85236740112305)","(-48.60258483886719, 176.54617309570312, 53.615726470947266)",POINT (0.3725591003894806 0.1425156816840172),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847315728,2410163325,1,1,"(0.37949538230895996, 0.16384948790073395)","(0.36507752537727356, 0.11864962428808212)",1,1,2.426010131835937,2.1436767578125,"(-58.65937042236328, -65.53522491455078, 579.762939453125)","(5.77213191986084, -71.7694091796875, 585.1576538085938)","(-43.25704574584961, 170.22740173339844, 51.31593704223633)","(-48.2387809753418, 178.48257446289062, 54.320552825927734)",POINT (0.3722864538431168 0.141249556094408),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847332396,2410179992,1,1,"(0.380985826253891, 0.18414974212646484)","(0.3691379427909851, 0.12966883182525635)",1,1,2.46331787109375,2.154998779296875,"(-58.654441833496094, -65.548095703125, 579.7824096679688)","(5.784257888793945, -71.77989196777344, 585.1195068359375)","(-42.7420539855957, 166.51983642578125, 49.96647644042969)","(-46.8358039855957, 176.47006225585938, 53.58802795410156)",POINT (0.375061884522438 0.1569092869758606),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847349063,2410196659,1,1,"(0.3751097619533539, 0.18728362023830414)","(0.3661394417285919, 0.1426093578338623)",1,1,2.45849609375,2.155914306640625,"(-58.63662338256836, -65.55408477783203, 579.7576904296875)","(5.8025312423706055, -71.79893493652344, 585.119140625)","(-44.77238464355469, 165.9474639892578, 49.75814437866211)","(-47.87186050415039, 174.1066436767578, 52.72783279418945)",POINT (0.3706246018409729 0.1649464890360832),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847365732,2410213327,1,1,"(0.37391340732574463, 0.17234349250793457)","(0.366624653339386, 0.13402555882930756)",1,1,2.4430084228515625,2.1658477783203125,"(-58.59798812866211, -65.5470199584961, 579.7076416015625)","(5.833512306213379, -71.80680847167969, 585.0899658203125)","(-45.185760498046875, 168.6761016845703, 50.75127410888672)","(-47.70421600341797, 175.67434692382812, 53.298465728759766)",POINT (0.3702690303325653 0.1531845256686211),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847382399,2410229994,1,1,"(0.37968963384628296, 0.16836503148078918)","(0.3629699945449829, 0.12979041039943695)",1,1,2.448959350585937,2.1667633056640625,"(-58.564476013183594, -65.53946685791016, 579.619384765625)","(5.857457637786865, -71.81663513183594, 585.1085205078125)","(-43.18992233276367, 169.4027099609375, 51.015724182128906)","(-48.96697998046875, 176.44784545898438, 53.57997131347656)",POINT (0.3713298141956329 0.1490777209401131),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847399066,2410246660,1,1,"(0.38180282711982727, 0.17892849445343018)","(0.36667072772979736, 0.12790554761886597)",1,1,2.455780029296875,2.152557373046875,"(-58.54698181152344, -65.53005981445312, 579.6507568359375)","(5.87774658203125, -71.80805206298828, 585.08984375)","(-42.45977020263672, 167.4734344482422, 50.313541412353516)","(-47.68828582763672, 176.79208374023438, 53.70526885986328)",POINT (0.3742367774248123 0.1534170210361481),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847415733,2410263327,1,1,"(0.3780278265476227, 0.17929789423942566)","(0.3637676239013672, 0.12378764897584915)",1,1,2.4610595703125,2.164154052734375,"(-58.53221130371094, -65.52676391601562, 579.6438598632812)","(5.889402389526367, -71.80277252197266, 585.0139770507812)","(-43.764129638671875, 167.4059600830078, 50.28901672363281)","(-48.69139099121094, 177.54417419433594, 53.979026794433594)",POINT (0.3708977252244949 0.1515427716076374),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847432401,2410279994,1,1,"(0.38094955682754517, 0.18669988214969635)","(0.36832013726234436, 0.12108860164880753)",1,1,2.478485107421875,2.1755828857421875,"(-58.525508880615234, -65.52223205566406, 579.6449584960938)","(5.898075103759766, -71.79725646972656, 585.0234985351562)","(-42.75459289550781, 166.05409240722656, 49.79692840576172)","(-47.118385314941406, 178.03712463378906, 54.15842819213867)",POINT (0.3746348470449448 0.1538942418992519),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847449068,2410296661,1,1,"(0.3865950405597687, 0.21577657759189606)","(0.3671855926513672, 0.1456591784954071)",1,1,2.532623291015625,2.1992950439453125,"(-58.52952575683594, -65.53594970703125, 579.6342163085938)","(5.893975734710693, -71.80274200439453, 585.013671875)","(-40.80392837524414, 160.7436065673828, 47.864097595214844)","(-47.5103874206543, 173.54962158203125, 52.525115966796875)",POINT (0.3768903166055679 0.1807178780436516),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
