,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,13,5,408074232948,2231074199,1,1,"(0.42576926946640015, 0.2046414464712143)","(0.44198283553123474, 0.21073153614997864)",1,1,2.369049072265625,2.369476318359375,"(-49.61530685424805, 31.211458206176758, 530.393798828125)","(11.97900104522705, 26.574623107910156, 530.9761962890625)","(-27.26824188232422, 162.7772979736328, 48.60430908203125)","(-21.666057586669922, 161.66502380371094, 48.19947052001953)",POINT (0.4338760524988174 0.2076864913105965),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074249615,2231090866,1,1,"(0.4261404275894165, 0.20024140179157257)","(0.44071581959724426, 0.2136019617319107)",1,1,2.3497772216796875,2.344024658203125,"(-49.582923889160156, 31.185382843017578, 530.3671875)","(12.015412330627441, 26.541030883789062, 530.9906616210938)","(-27.14000129699707, 163.58090209960938, 48.89678955078125)","(-22.103837966918945, 161.1407928466797, 48.008636474609375)",POINT (0.4334281235933304 0.2069216817617416),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074266282,2231107532,1,1,"(0.4231741726398468, 0.2080882042646408)","(0.441206157207489, 0.21180985867977142)",1,1,2.352157592773437,2.343856811523437,"(-49.55902099609375, 31.15301513671875, 530.277099609375)","(12.036438941955566, 26.514381408691406, 530.9507446289062)","(-28.164928436279297, 162.14779663085938, 48.37516784667969)","(-21.934415817260742, 161.46807861328125, 48.12775802612305)",POINT (0.4321901649236679 0.2099490314722061),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074282949,2231124199,1,1,"(0.4268381893634796, 0.20292659103870392)","(0.4361070990562439, 0.21440668404102325)",1,1,2.344955444335937,2.3288726806640625,"(-49.55804443359375, 31.12266731262207, 530.238037109375)","(12.0447998046875, 26.48900032043457, 530.8956298828125)","(-26.898906707763672, 163.0904998779297, 48.71828842163086)","(-23.69626808166504, 160.99380493164062, 47.95514678955078)",POINT (0.4314726442098618 0.2086666375398636),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074299617,2231140866,1,1,"(0.4263406991958618, 0.20434340834617615)","(0.4372776746749878, 0.21170975267887115)",1,1,2.35101318359375,2.351959228515625,"(-49.5751953125, 31.08514976501465, 530.1961059570312)","(12.031285285949707, 26.467084884643555, 530.90380859375)","(-27.070817947387695, 162.8317108154297, 48.62411880493164)","(-23.291810989379883, 161.4863739013672, 48.13444137573242)",POINT (0.4318091869354248 0.2080265805125236),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074316283,2231157532,1,1,"(0.42742905020713806, 0.20930896699428558)","(0.43990135192871094, 0.21597997844219208)",1,1,2.3576812744140625,2.330352783203125,"(-49.602638244628906, 31.057525634765625, 530.144287109375)","(11.99901008605957, 26.448360443115234, 530.8424072265625)","(-26.694766998291016, 161.92483520507812, 48.29402160644531)","(-22.38525390625, 160.70645141601562, 47.8505744934082)",POINT (0.4336652010679245 0.2126444727182388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074332957,2231174205,1,1,"(0.42591097950935364, 0.20385195314884186)","(0.4403076469898224, 0.22306889295578003)",1,1,2.3629302978515625,2.33587646484375,"(-49.652976989746094, 31.03521156311035, 530.1913452148438)","(11.964274406433105, 26.434019088745117, 530.8355102539062)","(-27.219280242919922, 162.92147827148438, 48.65681076049805)","(-22.244882583618164, 159.41177368164062, 47.37935256958008)",POINT (0.433109313249588 0.2134604230523109),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,13,5,408074349623,2231190871,1,1,"(0.42636576294898987, 0.21363644301891327)","(0.4424971342086792, 0.2173359990119934)",1,1,2.3362579345703125,2.3385009765625,"(-49.70130920410156, 31.009653091430664, 530.2545776367188)","(11.923563003540039, 26.422117233276367, 530.8212890625)","(-27.062145233154297, 161.1344757080078, 48.00636672973633)","(-21.488351821899414, 160.45880126953125, 47.760433197021484)",POINT (0.4344314485788345 0.2154862210154533),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,13,5,408074366291,2231207538,1,1,"(0.42687439918518066, 0.20692263543605804)","(0.4416789412498474, 0.22871406376361847)",1,1,2.36492919921875,2.326034545898437,"(-49.75727462768555, 30.969940185546875, 530.2469482421875)","(11.866836547851562, 26.41230010986328, 530.846923828125)","(-26.88640022277832, 162.3606719970703, 48.45265197753906)","(-21.771055221557617, 158.38075256347656, 47.00407028198242)",POINT (0.434276670217514 0.2178183495998383),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,13,5,408074382958,2231224205,1,1,"(0.4102637469768524, 0.19183863699436188)","(0.4153619408607483, 0.19775384664535522)",1,1,2.33984375,2.344711303710937,"(-49.869606018066406, 30.940479278564453, 530.3480224609375)","(11.72848892211914, 26.4205265045166, 530.92919921875)","(-32.625797271728516, 165.1155548095703, 49.45535659790039)","(-30.864238739013672, 164.03521728515625, 49.06214141845703)",POINT (0.4128128439188004 0.1947962418198586),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074399624,2231240871,1,1,"(0.4067593812942505, 0.1998956799507141)","(0.4198036193847656, 0.19817322492599487)",1,1,2.323516845703125,2.3357086181640625,"(-49.93058776855469, 30.90203285217285, 530.3787231445312)","(11.676456451416016, 26.420082092285156, 531.0408935546875)","(-33.83665084838867, 163.64404296875, 48.919761657714844)","(-29.32953453063965, 163.95863342285156, 49.03425598144531)",POINT (0.4132815003395081 0.1990344524383545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074416291,2231257538,1,1,"(0.4054538607597351, 0.1989613175392151)","(0.4215899109840393, 0.2022838443517685)",1,1,2.318572998046875,2.337005615234375,"(-49.984169006347656, 30.87580108642578, 530.3065795898438)","(11.6221284866333, 26.407011032104492, 530.9718017578125)","(-34.2877311706543, 163.814697265625, 48.981876373291016)","(-28.712329864501953, 163.2078857421875, 48.76101303100586)",POINT (0.4135218858718872 0.2006225809454918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074432959,2231274205,1,1,"(0.4044625163078308, 0.1933169811964035)","(0.4181171953678131, 0.19767379760742188)",1,1,2.33154296875,2.32098388671875,"(-50.04093933105469, 30.84733772277832, 530.2973022460938)","(11.57331657409668, 26.402130126953125, 530.9738159179688)","(-34.63027572631836, 164.84555053710938, 49.357078552246094)","(-29.912240982055664, 164.04983520507812, 49.06747817993164)",POINT (0.411289855837822 0.1954953894019127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074449625,2231290871,1,1,"(0.406273752450943, 0.2006334513425827)","(0.41855600476264954, 0.2052171379327774)",1,1,2.309112548828125,2.306976318359375,"(-50.09241485595703, 30.81615447998047, 530.327880859375)","(11.522385597229004, 26.37995147705078, 530.91259765625)","(-34.00444412231445, 163.50930786132812, 48.87071990966797)","(-29.76061248779297, 162.67214965820312, 48.566036224365234)",POINT (0.4124148786067963 0.20292529463768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074466298,2231307543,1,1,"(0.40459591150283813, 0.1949135661125183)","(0.4194931387901306, 0.20294693112373352)",1,1,2.3174285888671875,2.316513061523437,"(-50.146324157714844, 30.780590057373047, 530.273681640625)","(11.470850944519043, 26.371688842773438, 530.94580078125)","(-34.58417892456055, 164.55397033691406, 49.250953674316406)","(-29.436809539794922, 163.08677673339844, 48.71693801879883)",POINT (0.4120445251464844 0.1989302486181259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074482964,2231324209,1,1,"(0.40429675579071045, 0.1986057162284851)","(0.42171353101730347, 0.20901016891002655)",1,1,2.29241943359375,2.3205718994140625,"(-50.18766784667969, 30.74448585510254, 530.2681274414062)","(11.426827430725098, 26.35285186767578, 530.89208984375)","(-34.68754577636719, 163.87965393066406, 49.00550079345703)","(-28.66961097717285, 161.9794158935547, 48.313907623291016)",POINT (0.413005143404007 0.2038079425692558),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074499632,2231340876,1,1,"(0.425557017326355, 0.18173383176326752)","(0.43880611658096313, 0.21061459183692932)",1,1,2.3031158447265625,2.29718017578125,"(-50.14037322998047, 30.731836318969727, 530.156494140625)","(11.468801498413086, 26.338722229003906, 530.76611328125)","(-27.341594696044922, 166.96107482910156, 50.12705612182617)","(-22.763687133789062, 161.68637084960938, 48.207237243652344)",POINT (0.4321815669536591 0.1961742118000984),,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
0,13,5,408074516299,2231357543,1,1,"(0.47078827023506165, 0.1736244410276413)","(0.48556622862815857, 0.18099121749401093)",1,1,2.307769775390625,2.30560302734375,"(-49.94453811645508, 30.738595962524414, 530.0990600585938)","(11.611098289489746, 26.327484130859375, 530.6448364257812)","(-11.713047981262207, 168.442138671875, 50.666133880615234)","(-6.606901168823242, 167.09671020507812, 50.17642593383789)",POINT (0.4781772494316101 0.1773078292608261),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
