,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,36,23,344018340736,2833705662,1,1,"(0.4483069181442261, 0.2505977153778076)","(0.4485112726688385, 0.3148399591445923)",1,1,2.5128631591796875,2.432769775390625,"(-94.54360961914062, 8.115785598754883, 462.8550109863281)","(-33.84522247314453, 11.848827362060547, 474.91973876953125)","(-19.480932235717773, 154.38397216796875, 45.54943084716797)","(-19.41030502319336, 142.65098571777344, 41.2789421081543)",POINT (0.4484090954065323 0.2827188372612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018357408,2833722333,1,1,"(0.4518490135669708, 0.2599581480026245)","(0.4458441138267517, 0.31386372447013855)",1,1,2.459564208984375,2.419921875,"(-94.5934829711914, 8.103313446044922, 462.9415588378906)","(-33.863380432128906, 11.86989688873291, 474.99261474609375)","(-18.257034301757812, 152.67442321777344, 44.927181243896484)","(-20.331880569458008, 142.82928466796875, 41.343841552734375)",POINT (0.4488465636968613 0.2869109362363815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018374074,2833738999,1,1,"(0.4586765468120575, 0.2548689842224121)","(0.44515469670295715, 0.3220351040363312)",1,1,2.4431304931640625,2.3817901611328125,"(-94.62350463867188, 8.107738494873047, 462.96954345703125)","(-33.88753128051758, 11.886228561401367, 474.8633117675781)","(-15.897955894470215, 153.6038818359375, 45.265499114990234)","(-20.570100784301758, 141.33688354492188, 40.800662994384766)",POINT (0.4519156217575073 0.2884520441293716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018390742,2833755666,1,1,"(0.4542944133281708, 0.28399115800857544)","(0.4414927065372467, 0.32761427760124207)",1,1,2.44293212890625,2.384490966796875,"(-94.63934326171875, 8.128556251525879, 462.9853210449219)","(-33.889503479003906, 11.884378433227539, 474.81298828125)","(-17.41209602355957, 148.2851104736328, 43.329612731933594)","(-21.835397720336914, 140.31793212890625, 40.42976379394531)",POINT (0.4478935599327087 0.3058027178049088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018407409,2833772333,1,1,"(0.4547254145145416, 0.2856958210468292)","(0.43607476353645325, 0.29537802934646606)",1,1,2.425750732421875,2.294662475585937,"(-94.65019226074219, 8.135395050048828, 462.95849609375)","(-33.91133499145508, 11.900407791137695, 474.8857116699219)","(-17.26316261291504, 147.97377014160156, 43.216304779052734)","(-23.707441329956055, 146.2054443359375, 42.572669982910156)",POINT (0.4454000890254974 0.2905369251966476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018424076,2833788999,1,1,"(0.4450387954711914, 0.27810242772102356)","(0.44345301389694214, 0.29925161600112915)",1,1,2.41094970703125,2.332870483398437,"(-94.64393615722656, 8.134527206420898, 462.90924072265625)","(-33.936737060546875, 11.895851135253906, 475.0353088378906)","(-20.610145568847656, 149.36062622070312, 43.72100830078125)","(-21.15806007385254, 145.4980010986328, 42.315155029296875)",POINT (0.4442459046840668 0.2886770218610764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018440743,2833805666,1,1,"(0.44338563084602356, 0.26623237133026123)","(0.42871561646461487, 0.2813803553581238)",1,1,2.4296417236328125,2.234130859375,"(-94.63187408447266, 8.117010116577148, 462.800048828125)","(-33.93497085571289, 11.890106201171875, 475.010498046875)","(-21.181352615356445, 151.52853393554688, 44.51007080078125)","(-26.25021743774414, 148.76194763183594, 43.503135681152344)",POINT (0.4360506236553192 0.2738063633441925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018457411,2833822333,1,1,"(0.43980857729911804, 0.2704589366912842)","(0.4401146173477173, 0.31739553809165955)",1,1,2.40972900390625,2.380477905273437,"(-94.63999938964844, 8.094717025756836, 462.822509765625)","(-33.94952392578125, 11.88003158569336, 475.0462951660156)","(-22.417308807373047, 150.75657653808594, 44.229183197021484)","(-22.311573028564453, 142.1842498779297, 41.109039306640625)",POINT (0.4399615973234177 0.2939272373914719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018474077,2833838999,1,1,"(0.44083359837532043, 0.3019275367259979)","(0.4427766501903534, 0.3038218021392822)",1,1,2.4205322265625,2.3421783447265625,"(-94.68608093261719, 8.082064628601074, 462.97528076171875)","(-33.998687744140625, 11.886347770690918, 475.28204345703125)","(-22.063148498535156, 145.00926208496094, 42.137306213378906)","(-21.391767501831055, 144.66331481933594, 42.0113410949707)",POINT (0.4418051242828369 0.3028746694326401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018490748,2833855669,1,1,"(0.45201078057289124, 0.29448553919792175)","(0.4415062367916107, 0.299277126789093)",1,1,2.4407501220703125,2.3770294189453125,"(-94.79487609863281, 8.068870544433594, 463.31866455078125)","(-34.0009765625, 11.854325294494629, 475.05401611328125)","(-18.201143264770508, 146.3684539794922, 42.63197708129883)","(-21.830738067626953, 145.49334716796875, 42.313446044921875)",POINT (0.446758508682251 0.2968813329935074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
