,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,57,25,509889918416,3146714245,1,1,"(0.45198631286621094, 0.22321057319641113)","(0.44512006640434265, 0.27352750301361084)",1,1,2.691375732421875,2.7234039306640625,"(-35.13516616821289, 22.871631622314453, 530.7325439453125)","(23.73280143737793, 25.981456756591797, 528.9600830078125)","(-18.2095947265625, 159.38587951660156, 47.36994552612305)","(-20.58205795288086, 150.1961669921875, 44.025146484375)",POINT (0.4485531896352768 0.248369038105011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509889935088,3146730917,1,1,"(0.45016470551490784, 0.21607638895511627)","(0.44360172748565674, 0.2730460464954376)",1,1,2.69970703125,2.732574462890625,"(-35.13799285888672, 22.90574073791504, 530.73291015625)","(23.733943939208984, 26.021953582763672, 528.9210205078125)","(-18.83901596069336, 160.68887329101562, 47.844154357910156)","(-21.10666847229004, 150.2841033935547, 44.05712890625)",POINT (0.4468832165002823 0.244561217725277),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509889951756,3146747584,1,1,"(0.453477680683136, 0.22126324474811554)","(0.4403843879699707, 0.27294105291366577)",1,1,2.7088775634765625,2.74029541015625,"(-35.11936950683594, 22.93579864501953, 530.6956787109375)","(23.755462646484375, 26.050643920898438, 528.9118041992188)","(-17.694292068481445, 159.7415313720703, 47.49938201904297)","(-22.218368530273438, 150.3032684326172, 44.06412124633789)",POINT (0.4469310343265533 0.2471021488308907),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509889968423,3146764251,1,1,"(0.45453721284866333, 0.21601824462413788)","(0.4447823166847229, 0.2774225175380707)",1,1,2.70220947265625,2.735443115234375,"(-35.09065246582031, 22.973392486572266, 530.62744140625)","(23.781200408935547, 26.090774536132812, 528.98779296875)","(-17.328195571899414, 160.699462890625, 47.84804153442383)","(-20.69875144958496, 149.48480224609375, 43.76620864868164)",POINT (0.4496597647666931 0.2467203810811043),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509889985090,3146780917,1,1,"(0.45989635586738586, 0.21848535537719727)","(0.4432194232940674, 0.27582165598869324)",1,1,2.697006225585937,2.75067138671875,"(-35.06416320800781, 22.991962432861328, 530.591064453125)","(23.807546615600586, 26.106204986572266, 528.954833984375)","(-15.476476669311523, 160.24888610839844, 47.68402862548828)","(-21.238780975341797, 149.7771759033203, 43.872623443603516)",POINT (0.4515578895807266 0.2471535056829452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509890001757,3146797584,1,1,"(0.44958361983299255, 0.21677061915397644)","(0.44101229310035706, 0.2748120427131653)",1,1,2.689361572265625,2.735015869140625,"(-35.01210403442383, 23.01353645324707, 530.4630126953125)","(23.854080200195312, 26.115184783935547, 528.9439086914062)","(-19.03978729248047, 160.5620574951172, 47.79801940917969)","(-22.00140953063965, 149.96156311035156, 43.93974685668945)",POINT (0.4452979564666748 0.2457913309335709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509890018425,3146814251,1,1,"(0.45370998978614807, 0.22513271868228912)","(0.442190945148468, 0.2634758949279785)",1,1,2.69976806640625,2.7100830078125,"(-34.96951675415039, 23.03040313720703, 530.428466796875)","(23.897239685058594, 26.11808967590332, 528.964111328125)","(-17.614030838012695, 159.03482055664062, 47.242149353027344)","(-21.594146728515625, 152.03196716308594, 44.69329833984375)",POINT (0.447950467467308 0.2443043068051338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509890035091,3146830917,1,1,"(0.4584336578845978, 0.22002780437469482)","(0.44858816266059875, 0.2846676707267761)",1,1,2.692596435546875,2.746429443359375,"(-34.952049255371094, 23.0396671295166, 530.43896484375)","(23.924877166748047, 26.121143341064453, 528.9466552734375)","(-15.981884956359863, 159.96717834472656, 47.58149337768555)","(-19.38374137878418, 148.16156005859375, 43.28461456298828)",POINT (0.4535109102725983 0.2523477375507355),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509890051759,3146847584,1,1,"(0.4575139284133911, 0.22783173620700836)","(0.4396567940711975, 0.26869094371795654)",1,1,2.688323974609375,2.737289428710937,"(-34.92058563232422, 23.037086486816406, 530.4099731445312)","(23.963289260864258, 26.102792739868164, 528.8353271484375)","(-16.29966163635254, 158.54190063476562, 47.062740325927734)","(-22.469762802124023, 151.0795135498047, 44.346649169921875)",POINT (0.4485853612422943 0.2482613399624824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509890068430,3146864255,1,1,"(0.4572986960411072, 0.23440800607204437)","(0.4434923529624939, 0.2654251158237457)",1,1,2.71478271484375,2.7213592529296875,"(-34.88196563720703, 23.033599853515625, 530.2651977539062)","(23.98979377746582, 26.09729766845703, 528.786865234375)","(-16.37404441833496, 157.3408203125, 46.62559509277344)","(-21.14447593688965, 151.67596435546875, 44.56374740600586)",POINT (0.4503955245018005 0.249916560947895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,57,25,509890085098,3146880922,1,1,"(0.4503971338272095, 0.22228004038333893)","(0.4392727017402649, 0.26475194096565247)",1,1,2.70489501953125,2.735748291015625,"(-34.84845733642578, 23.02964973449707, 530.1587524414062)","(24.0183162689209, 26.095365524291992, 528.7847900390625)","(-18.758708953857422, 159.55584716796875, 47.431785583496094)","(-22.60247802734375, 151.7989044189453, 44.608497619628906)",POINT (0.4448349177837372 0.2435159906744957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509890101764,3146897588,1,1,"(0.4508001506328583, 0.2383546233177185)","(0.43891581892967224, 0.27248576283454895)",1,1,2.715484619140625,2.731170654296875,"(-34.81279754638672, 23.032230377197266, 530.11572265625)","(24.057994842529297, 26.089458465576172, 528.7431640625)","(-18.619447708129883, 156.62002563476562, 46.363250732421875)","(-22.725788116455078, 150.3864288330078, 44.09440994262695)",POINT (0.4448579847812653 0.2554201930761337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,57,25,509890118431,3146914254,1,1,"(0.45423686504364014, 0.221909299492836)","(0.4425114691257477, 0.2710604965686798)",1,1,2.708740234375,2.761459350585937,"(-34.78924560546875, 23.036182403564453, 530.173095703125)","(24.09697723388672, 26.078632354736328, 528.6705932617188)","(-17.431982040405273, 159.62353515625, 47.45642852783203)","(-21.48339080810547, 150.646728515625, 44.18912124633789)",POINT (0.4483741670846939 0.2464848980307579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
