,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,34,17,73549910577,3928879565,1,1,"(0.477164089679718, 0.7607701420783997)","(0.4556080400943756, 0.8018733859062195)",1,1,2.5363922119140625,2.4368133544921875,"(-55.52715301513672, 57.966697692871094, 486.1990661621094)","(8.674093246459961, 59.97144317626953, 493.00262451171875)","(-9.510038375854492, 61.20774841308594, 11.63599967956543)","(-16.95820426940918, 53.700775146484375, 8.903748512268066)",POINT (0.4663860648870468 0.7813217639923096),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,17,73549927244,3928896232,1,1,"(0.48309192061424255, 0.7759120464324951)","(0.4594224989414215, 0.8355087637901306)",1,1,2.554840087890625,2.479248046875,"(-55.545318603515625, 58.05426025390625, 486.2762451171875)","(8.667340278625488, 60.07891845703125, 493.0495910644531)","(-7.461826801300049, 58.442264556884766, 10.62946891784668)","(-15.640216827392578, 47.55770492553711, 6.667843341827393)",POINT (0.471257209777832 0.8057104051113129),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73549943912,3928912898,1,1,"(0.47781702876091003, 0.8019771575927734)","(0.4699486196041107, 0.8195251822471619)",1,1,2.571044921875,2.4542388916015625,"(-55.58739471435547, 58.149227142333984, 486.4669494628906)","(8.642078399658203, 60.13184356689453, 493.18524169921875)","(-9.284440994262695, 53.681819915771484, 8.896810531616211)","(-12.003155708312988, 50.476905822753906, 7.730323791503906)",POINT (0.4738828241825104 0.8107511699199677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73549960579,3928929565,1,1,"(0.5041707754135132, 0.7977185249328613)","(0.4633439779281616, 0.8324414491653442)",1,1,2.5487823486328125,2.46270751953125,"(-55.62168884277344, 58.23762512207031, 486.54608154296875)","(8.618837356567383, 60.22478485107422, 493.0963134765625)","(-0.17853127419948578, 54.45960998535156, 9.179876327514648)","(-14.285226821899414, 48.11793899536133, 6.871695518493652)",POINT (0.4837573766708374 0.8150799870491028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73549977247,3928946232,1,1,"(0.5003751516342163, 0.7914159893989563)","(0.47007983922958374, 0.8164840936660767)",1,1,2.5720367431640625,2.473724365234375,"(-55.66965103149414, 58.3162841796875, 486.6416931152344)","(8.555147171020508, 60.29973602294922, 493.3352966308594)","(-1.4900392293930054, 55.61069107055664, 9.598844528198242)","(-11.957816123962402, 51.032318115234375, 7.932470321655273)",POINT (0.4852274954319 0.8039500415325165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73549993913,3928962898,1,1,"(0.49003738164901733, 0.7762604355812073)","(0.47001969814300537, 0.8293316960334778)",1,1,2.5784454345703125,2.483612060546875,"(-55.737762451171875, 58.40150451660156, 486.755615234375)","(8.498542785644531, 60.39078903198242, 493.1865234375)","(-5.061986446380615, 58.37865447998047, 10.606304168701172)","(-11.978592872619629, 48.685882568359375, 7.078457832336426)",POINT (0.4800285398960114 0.8027960658073425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73550010581,3928979565,1,1,"(0.4571046531200409, 0.655354380607605)","(0.45622631907463074, 0.6691993474960327)",1,1,2.586761474609375,2.4844512939453125,"(-55.86331558227539, 58.76163864135742, 486.8543701171875)","(8.295001029968262, 60.70880126953125, 493.3857727050781)","(-16.441068649291992, 80.46052551269531, 18.643463134765625)","(-16.744571685791016, 77.93193054199219, 17.723133087158203)",POINT (0.4566654860973358 0.6622768640518188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,17,73550027249,3928996233,1,1,"(0.4602935314178467, 0.5384023189544678)","(0.4543355107307434, 0.5818919539451599)",1,1,2.53997802734375,2.4515838623046875,"(-55.986083984375, 59.10687255859375, 487.13104248046875)","(8.129515647888184, 61.02666091918945, 493.4699401855469)","(-15.339241027832031, 101.8202896118164, 26.417768478393555)","(-17.397886276245117, 93.87747192382812, 23.52682113647461)",POINT (0.457314521074295 0.5601471364498138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,17,73550043917,3929012900,1,1,"(0.43995988368988037, 0.344063937664032)","(0.451241135597229, 0.3748684823513031)",1,1,2.51275634765625,2.4315643310546875,"(-56.03095245361328, 59.349853515625, 487.01971435546875)","(7.946480751037598, 61.345333099365234, 493.64337158203125)","(-22.365026473999023, 137.31361389160156, 39.336307525634766)","(-18.467086791992188, 131.6875762939453, 37.28858184814453)",POINT (0.4456005096435547 0.3594662100076675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,17,73550060584,3929029567,1,1,"(0.4327198266983032, 0.1938914954662323)","(0.4414044916629791, 0.18314623832702637)",1,1,2.509140014648437,2.396514892578125,"(-56.19691467285156, 59.80996322631836, 487.43536376953125)","(7.719028472900391, 61.70486831665039, 493.748291015625)","(-24.866655349731445, 164.74063110351562, 49.31892013549805)","(-21.865882873535156, 166.70309448242188, 50.03318405151367)",POINT (0.4370621591806412 0.1885188668966293),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,34,17,73550077251,3929046233,1,1,"(0.4251898527145386, 0.15900306403636932)","(0.4413633346557617, 0.18268045783042908)",1,1,2.5607147216796875,2.444122314453125,"(-56.323211669921875, 59.85747528076172, 487.47100830078125)","(7.632292747497559, 61.78541564941406, 493.6141357421875)","(-27.46845245361328, 171.11253356933594, 51.63808059692383)","(-21.880098342895508, 166.78817749023438, 50.06414794921875)",POINT (0.4332765936851502 0.1708417609333992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
