,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,45,7,77685740375,8064589557,1,1,"(0.4937824308872223, 0.8145564198493958)","(0.4359769821166992, 0.7065184712409973)",1,1,3.3207244873046875,3.664352416992188,"(-37.030670166015625, 25.459802627563477, 554.4498291015625)","(22.677494049072266, 22.650625228881836, 561.59521484375)","(-3.7679924964904785, 51.384395599365234, 8.060599327087402)","(-23.741228103637695, 71.11609649658203, 15.242335319519043)",POINT (0.4648797065019608 0.7605374455451965),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685757042,8064606223,1,1,"(0.48870137333869934, 0.8073548674583435)","(0.4450437128543854, 0.7029125094413757)",1,1,3.3000640869140625,3.64752197265625,"(-36.93411636352539, 25.443119049072266, 554.83837890625)","(22.775463104248047, 22.821569442749023, 562.0709228515625)","(-5.523626804351807, 52.69968032836914, 8.539285659790039)","(-20.608455657958984, 71.7746810913086, 15.482075691223145)",POINT (0.4668725430965424 0.7551336884498596),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685773711,8064622891,1,1,"(0.4974980652332306, 0.8017531037330627)","(0.4284190535545349, 0.7070030570030212)",1,1,3.2937469482421875,3.6402435302734375,"(-36.81060028076172, 25.466678619384766, 555.4454345703125)","(22.930519104003906, 23.017250061035156, 562.472900390625)","(-2.484126091003418, 53.7227668762207, 8.911672592163086)","(-26.35266876220703, 71.027587890625, 15.210139274597168)",POINT (0.4629585593938828 0.754378080368042),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685790377,8064639557,1,1,"(0.495771199464798, 0.8125284314155579)","(0.4316558539867401, 0.7196300625801086)",1,1,3.268524169921875,3.658248901367188,"(-36.612098693847656, 25.449182510375977, 556.030517578125)","(23.14238739013672, 23.152273178100586, 563.05615234375)","(-3.08081316947937, 51.75478744506836, 8.195406913757324)","(-25.23429298400879, 68.72145080566406, 14.370765686035156)",POINT (0.463713526725769 0.7660792469978333),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685807046,8064656224,1,1,"(0.5030473470687866, 0.8185154795646667)","(0.43719711899757385, 0.6970661282539368)",1,1,3.266510009765625,3.60888671875,"(-36.340206146240234, 25.450416564941406, 556.779296875)","(23.42374038696289, 23.275787353515625, 563.6541137695312)","(-0.5667123794555664, 50.661312103271484, 7.797446250915527)","(-23.31964874267578, 72.84243774414062, 15.870697021484375)",POINT (0.4701222330331802 0.7577908039093018),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685823713,8064672891,1,1,"(0.49770545959472656, 0.8096567392349243)","(0.433991402387619, 0.6896562576293945)",1,1,3.258087158203125,3.63031005859375,"(-35.9974365234375, 25.489578247070312, 557.5799560546875)","(23.776567459106445, 23.393918991088867, 564.477783203125)","(-2.412468910217285, 52.27924728393555, 8.386296272277832)","(-24.427284240722656, 74.19574737548828, 16.36326026916504)",POINT (0.4658484309911728 0.7496564984321594),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685840380,8064689557,1,1,"(0.4951871335506439, 0.8337053656578064)","(0.4258235991001129, 0.7035722136497498)",1,1,3.269012451171875,3.613327026367188,"(-35.586334228515625, 25.590835571289062, 558.3817138671875)","(24.19355010986328, 23.51128387451172, 565.1038818359375)","(-3.2826223373413086, 47.8870964050293, 6.787660121917725)","(-27.249469757080078, 71.65419006347656, 15.438183784484863)",POINT (0.4605053663253784 0.7686387896537781),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685857048,8064706224,1,1,"(0.49210628867149353, 0.8297253847122192)","(0.4290405213832855, 0.7093141078948975)",1,1,3.2782135009765625,3.60028076171875,"(-35.138221740722656, 25.652219772338867, 559.1804809570312)","(24.647157669067383, 23.544038772583008, 565.8618774414062)","(-4.347135543823242, 48.613983154296875, 7.052244663238525)","(-26.137948989868164, 70.60551452636719, 15.056503295898438)",POINT (0.4605734050273895 0.7695197463035583),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685873721,8064722896,1,1,"(0.49426308274269104, 0.8178990483283997)","(0.43234291672706604, 0.6999436616897583)",1,1,3.260848999023437,3.5837860107421875,"(-34.679283142089844, 25.6993350982666, 559.963134765625)","(25.115734100341797, 23.509933471679688, 566.6293334960938)","(-3.601895809173584, 50.773902893066406, 7.838420391082764)","(-24.99689292907715, 72.31689453125, 15.679409980773926)",POINT (0.4633029997348785 0.758921355009079),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685890388,8064739563,1,1,"(0.4966921806335449, 0.8123106956481934)","(0.4323490262031555, 0.6971406936645508)",1,1,3.2584228515625,3.5972442626953125,"(-34.25200271606445, 25.691680908203125, 560.822998046875)","(25.55042266845703, 23.48904800415039, 567.373779296875)","(-2.7625858783721924, 51.79452896118164, 8.209879875183105)","(-24.994787216186523, 72.82881927490234, 15.865753173828125)",POINT (0.4645206034183502 0.7547256946563721),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685907057,8064756230,1,1,"(0.48875927925109863, 0.8159915208816528)","(0.42561933398246765, 0.6994192004203796)",1,1,3.265411376953125,3.5765533447265625,"(-33.88885498046875, 25.656763076782227, 561.686767578125)","(25.925182342529297, 23.482135772705078, 568.1158447265625)","(-5.503606796264648, 51.122283935546875, 7.965208053588867)","(-27.320045471191406, 72.41268157958984, 15.71427059173584)",POINT (0.4571893066167831 0.7577053606510162),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685923723,8064772896,1,1,"(0.48689642548561096, 0.8125879764556885)","(0.4264586865901947, 0.7021468877792358)",1,1,3.268783569335937,3.614059448242188,"(-33.58245849609375, 25.59605598449707, 562.61767578125)","(26.250152587890625, 23.454904556274414, 568.83642578125)","(-6.147265434265137, 51.7439079284668, 8.191446304321289)","(-27.030038833618164, 71.91448974609375, 15.532986640930176)",POINT (0.4566775560379028 0.7573674321174622),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685940393,8064789565,1,1,"(0.4953564405441284, 0.8173741102218628)","(0.4324554204940796, 0.6944100260734558)",1,1,3.2213897705078125,3.5686492919921875,"(-33.31952667236328, 25.519397735595703, 563.601318359375)","(26.525218963623047, 23.428874969482422, 569.5435180664062)","(-3.2241365909576416, 50.869781494140625, 7.873287200927734)","(-24.957990646362305, 73.32752990722656, 16.047256469726562)",POINT (0.463905930519104 0.7558920681476593),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685957060,8064806231,1,1,"(0.4892163872718811, 0.8175992369651794)","(0.4370972514152527, 0.7043085694313049)",1,1,3.2524566650390625,3.57830810546875,"(-33.06792068481445, 25.43891143798828, 564.7091064453125)","(26.805450439453125, 23.401121139526367, 570.5416259765625)","(-5.345669746398926, 50.82866287231445, 7.858349800109863)","(-23.35413360595703, 71.51970672607422, 15.389237403869629)",POINT (0.4631568193435669 0.7609539031982422),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685973726,8064822896,1,1,"(0.49077221751213074, 0.8116883039474487)","(0.438924640417099, 0.6941837668418884)",1,1,3.2537994384765625,3.5806884765625,"(-32.82292938232422, 25.382352828979492, 565.9885864257812)","(27.067663192749023, 23.353290557861328, 571.508544921875)","(-4.808096885681152, 51.908206939697266, 8.251260757446289)","(-22.722719192504883, 73.36884307861328, 16.062326431274414)",POINT (0.4648484289646149 0.7529360353946686),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77685990395,8064839565,1,1,"(0.4866340160369873, 0.8051438927650452)","(0.43317726254463196, 0.6938185095787048)",1,1,3.2409210205078125,3.5665740966796875,"(-32.538108825683594, 25.323822021484375, 567.1190185546875)","(27.37093734741211, 23.312278747558594, 572.62939453125)","(-6.237936019897461, 53.103485107421875, 8.686283111572266)","(-24.70859718322754, 73.43556213378906, 16.08656883239746)",POINT (0.4599056392908096 0.749481201171875),,,,,,,,,,,,,,,,,,,,,,,
0,45,7,77686007067,8064856235,1,1,"(0.501061737537384, 0.8208453059196472)","(0.4290120005607605, 0.7003156542778015)",1,1,3.26727294921875,3.57489013671875,"(-32.26459884643555, 25.288822174072266, 568.54833984375)","(27.674081802368164, 23.28726577758789, 573.7916870117188)","(-1.2528088092803955, 50.235809326171875, 7.6425676345825195)","(-26.147804260253906, 72.24896240234375, 15.654685974121094)",POINT (0.4650368690490723 0.7605804800987244),,,,,,,,,,,,,,,,,,,,,,,
