,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,input3.1,input4.1,input5.1,  .1,cond.1,-----------.1,    .1,and.1,>.1,input1.2,21.1,>=.1,input4.2,110.1,>=.2,input5.2,56.1,-----------.3,-----------.4,    .2,and.2,or.1,=.1,input1.3,17.1,nan.7,=.2,input1.4,21.2,-----------.8,>=.3,input2.2,3.1,=.3,input4.3,110.2,>=.4,input5.3,56.2,-----------.9,-----------.10,    .3,and.3,or.2,-----------.11,input1.5,17.2,-----------.13,=.4,input1.6,21.3,-----------.14,-----------.15,input2.3,2.1,=.5,input3.2,156.1,>=.5,input4.4,11.1,>=.6,input5.4,1054.1,-----------.16,-----------.17,    .4,and.4,or.3,-----------.18,input1.7,17.3,-----------.20,=.6,input1.8,21.4,-----------.21,-----------.22,input2.4,2.2,=.7,input3.3,156.2,>=.7,input4.5,9.1,>=.8,input5.5,1054.2,-----------.23,    .5,else.1,-----------.24,-----------.25,question,code,choices
0,25,28,248970108342,465663765,1,1,"(0.5029201507568359, 0.29157304763793945)","(0.5307758450508118, 0.3418368101119995)",1,1,3.4027099609375,3.0130615234375,"(-29.408002853393555, -24.03782844543457, 651.9765625)","(40.48344802856445, -20.789148330688477, 652.411865234375)","(-0.6106774806976318, 146.90037536621094, 42.82560348510742)","(9.014176368713379, 137.72036743164062, 39.48429870605469)",POINT (0.5168479979038239 0.3167049288749695),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970125010,465680432,1,1,"(0.4999616742134094, 0.2846856415271759)","(0.5205226540565491, 0.31771424412727356)",1,1,3.3922576904296875,2.995361328125,"(-29.39981460571289, -24.031511306762695, 652.0598754882812)","(40.49790954589844, -20.7806453704834, 652.4930419921875)","(-1.6328926086425781, 148.1582794189453, 43.28341293334961)","(5.471453666687012, 142.12603759765625, 41.087894439697266)",POINT (0.5102421641349792 0.3011999428272247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970141681,465697103,1,1,"(0.5006513595581055, 0.2784184217453003)","(0.5218242406845093, 0.3545002043247223)",1,1,3.406982421875,3.0131072998046875,"(-29.379806518554688, -24.030370712280273, 652.2269287109375)","(40.531715393066406, -20.769691467285156, 652.48828125)","(-1.3945949077606201, 149.30291748046875, 43.70002365112305)","(5.921166896820068, 135.40757751464844, 38.64253616333008)",POINT (0.5112378001213074 0.3164593130350113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970158348,465713770,1,1,"(0.4980041980743408, 0.27980393171310425)","(0.5196287631988525, 0.327063649892807)",1,1,3.3999176025390625,2.990234375,"(-29.332979202270508, -24.043703079223633, 652.125)","(40.587646484375, -20.787235260009766, 652.5529174804688)","(-2.309255838394165, 149.04986572265625, 43.60792541503906)","(5.162580490112305, 140.4185028076172, 40.46635437011719)",POINT (0.5088164806365967 0.3034337908029556),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970175015,465730437,1,1,"(0.5087994337081909, 0.28715693950653076)","(0.5152846574783325, 0.3306898772716522)",1,1,3.410263061523437,3.011474609375,"(-29.281070709228516, -24.039854049682617, 651.9760131835938)","(40.63701248168945, -20.787734985351562, 652.6060791015625)","(1.4207590818405151, 147.7069549560547, 43.1191291809082)","(3.6615827083587646, 139.75621032714844, 40.225318908691406)",POINT (0.5120420455932617 0.3089234083890915),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970191682,465747103,1,1,"(0.5017216205596924, 0.28449493646621704)","(0.5273301005363464, 0.3334653377532959)",1,1,3.4256744384765625,3.012420654296875,"(-29.22452163696289, -24.048908233642578, 651.95751953125)","(40.67311477661133, -20.805805206298828, 652.6131591796875)","(-1.0247993469238281, 148.193115234375, 43.29607391357422)","(7.8235859870910645, 139.2493133544922, 40.040828704833984)",POINT (0.5145258605480194 0.3089801371097565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970208349,465763770,1,1,"(0.506332278251648, 0.2889070510864258)","(0.5263007283210754, 0.3338366746902466)",1,1,3.41888427734375,3.017486572265625,"(-29.205354690551758, -24.032304763793945, 652.0064697265625)","(40.70220947265625, -20.794353485107422, 652.657470703125)","(0.5683119297027588, 147.38729858398438, 43.00279998779297)","(7.46790885925293, 139.18150329589844, 40.016143798828125)",POINT (0.5163165032863617 0.3113718628883362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970225015,465780436,1,1,"(0.40421634912490845, 0.22546301782131195)","(0.43162664771080017, 0.3186020255088806)",1,1,3.44317626953125,3.097885131835937,"(-29.475202560424805, -23.868396759033203, 652.0529174804688)","(40.40559387207031, -20.667137145996094, 652.634765625)","(-34.7153205871582, 158.97450256347656, 47.22023391723633)","(-25.244369506835938, 141.9639129638672, 41.028831481933594)",POINT (0.4179214984178543 0.2720325216650963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,
0,25,28,248970241682,465797103,1,1,"(0.27775466442108154, 0.1923815757036209)","(0.31651294231414795, 0.23507475852966309)",1,1,3.4491119384765625,3.03717041015625,"(-29.842525482177734, -23.797557830810547, 652.125)","(39.97113800048828, -20.60511016845703, 652.59326171875)","(-78.41104888916016, 165.01638793945312, 49.419288635253906)","(-65.01907348632812, 157.21905517578125, 46.5812873840332)",POINT (0.2971338033676148 0.213728167116642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970258350,465813770,1,1,"(0.2742185592651367, 0.18156561255455017)","(0.30643409490585327, 0.21996735036373138)",1,1,3.46478271484375,3.0441436767578125,"(-29.883285522460938, -23.799468994140625, 652.392578125)","(39.91109085083008, -20.602195739746094, 652.482666015625)","(-79.63284301757812, 166.99179077148438, 50.13822937011719)","(-68.50157928466797, 159.97824096679688, 47.58551788330078)",POINT (0.290326327085495 0.2007664814591408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
