,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,34,11,70521772612,900831885,1,1,"(0.47900763154029846, 0.6910115480422974)","(0.4867279529571533, 0.7094963788986206)",1,1,2.4971923828125,2.5254669189453125,"(-48.45764923095703, -60.88694763183594, 745.5172119140625)","(15.568183898925781, -51.293678283691406, 746.9950561523438)","(-7.003903388977051, 74.1134033203125, 16.333328247070312)","(-4.328511714935303, 70.72754669189453, 15.100883483886719)",POINT (0.4828677922487259 0.700253963470459),,,,,,,,,,,,1
0,34,11,70521789279,900848552,1,1,"(0.48071134090423584, 0.7154688835144043)","(0.49727150797843933, 0.7155060768127441)",1,1,2.5277557373046875,2.521759033203125,"(-48.457420349121094, -60.85719299316406, 745.501953125)","(15.566791534423828, -51.256736755371094, 746.9337158203125)","(-6.413502216339111, 69.6335220336914, 14.70275592803955)","(-0.6747960448265076, 69.62671661376953, 14.700284004211426)",POINT (0.4889914244413376 0.7154874801635742),,,,,,,,,,,,1
0,34,11,70521805951,900865223,1,1,"(0.45885494351387024, 0.6976912021636963)","(0.49707549810409546, 0.7151234149932861)",1,1,2.5518341064453125,2.554840087890625,"(-48.45229721069336, -60.850189208984375, 745.4561157226562)","(15.563407897949219, -51.23874282836914, 746.9036865234375)","(-13.987532615661621, 72.88990020751953, 15.887978553771973)","(-0.7427222728729248, 69.69680786132812, 14.725790977478027)",POINT (0.4779652208089828 0.7064073085784912),,,,,,,,,,,,1
0,34,11,70521822618,900881890,1,1,"(0.47765013575553894, 0.70121169090271)","(0.48388245701789856, 0.704846978187561)",1,1,2.524566650390625,2.501312255859375,"(-48.45759582519531, -60.83391189575195, 745.4246215820312)","(15.554695129394531, -51.22039794921875, 746.903564453125)","(-7.474311351776123, 72.24503326416016, 15.653270721435547)","(-5.3145976066589355, 71.57916259765625, 15.410938262939453)",POINT (0.4807662963867188 0.7030293345451355),,,,,,,,,,,,1
0,34,11,70521839286,900898557,1,1,"(0.4811283051967621, 0.7176548838615417)","(0.4864366054534912, 0.7277842164039612)",1,1,2.540283203125,2.507553100585937,"(-48.46781539916992, -60.84954833984375, 745.4384155273438)","(15.543492317199707, -51.2210693359375, 746.8426513671875)","(-6.26900053024292, 69.23312377929688, 14.55702018737793)","(-4.429482460021973, 67.37773895263672, 13.88168716430664)",POINT (0.4837824553251266 0.7227195501327515),,,,,,,,,,,,1
0,34,11,70521855952,900915223,1,1,"(0.4672151803970337, 0.7241103649139404)","(0.49402859807014465, 0.7246865034103394)",1,1,2.562652587890625,2.50811767578125,"(-48.45967102050781, -60.868743896484375, 745.4705200195312)","(15.552315711975098, -51.24278259277344, 746.888427734375)","(-11.090413093566895, 68.0506591796875, 14.126669883728027)","(-1.7985875606536865, 67.94512939453125, 14.088247299194336)",POINT (0.4806218892335892 0.7243984341621399),,,,,,,,,,,,1
0,34,11,70521872620,900931890,1,1,"(0.48224174976348877, 0.7191931009292603)","(0.4890402853488922, 0.7265936732292175)",1,1,2.5519561767578125,2.54193115234375,"(-48.43816375732422, -60.88337326049805, 745.4583740234375)","(15.582466125488281, -51.274253845214844, 746.9484252929688)","(-5.883150577545166, 68.95136260986328, 14.454456329345703)","(-3.5272128582000732, 67.59579467773438, 13.961071014404297)",POINT (0.4856410175561905 0.7228933870792389),,,,,,,,,,,,1
0,34,11,70521889287,900948557,1,1,"(0.47364509105682373, 0.7023140788078308)","(0.49632102251052856, 0.7159255146980286)",1,1,2.5488433837890625,2.50799560546875,"(-48.41416931152344, -60.87710952758789, 745.4776000976562)","(15.605380058288574, -51.27754211425781, 746.8392333984375)","(-8.862215995788574, 72.0431137084961, 15.579782485961914)","(-1.004181981086731, 69.54988098144531, 14.672304153442383)",POINT (0.4849830567836762 0.7091197967529297),,,,,,,,,,,,1
0,34,11,70521905954,900965223,1,1,"(0.4808747172355652, 0.7282809019088745)","(0.49435195326805115, 0.7065039873123169)",1,1,2.5526123046875,2.5064849853515625,"(-48.38246536254883, -60.869834899902344, 745.5436401367188)","(15.646327018737793, -51.278160095214844, 746.7606201171875)","(-6.356886386871338, 67.2867431640625, 13.848591804504395)","(-1.6865403652191162, 71.2756576538086, 15.30042839050293)",POINT (0.4876133352518082 0.7173924446105957),,,,,,,,,,,,1
0,34,11,70521922621,900981890,1,1,"(0.47137224674224854, 0.7172825336456299)","(0.4844207167625427, 0.7268266081809998)",1,1,2.591094970703125,2.550384521484375,"(-48.34857177734375, -60.83489227294922, 745.5796508789062)","(15.680904388427734, -51.255760192871094, 746.7589111328125)","(-9.649826049804688, 69.30132293701172, 14.581847190856934)","(-5.128068447113037, 67.55313873291016, 13.945516586303711)",POINT (0.4778964817523956 0.7220545709133148),,,,,,,,,,,,1
