,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,31,16,357841559075,6169710777,1,1,"(0.5000535845756531, 0.6936445236206055)","(0.48424944281578064, 0.6712743043899536)",1,1,3.7463226318359375,3.48876953125,"(-39.5640983581543, -9.267549514770508, 682.7051391601562)","(26.27779769897461, -8.90009880065918, 680.1793212890625)","(0.28928622603416443, 73.63111877441406, 16.157787322998047)","(-5.187417507171631, 77.72869873046875, 17.64919662475586)",POINT (0.4921515136957169 0.6824594140052795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841575742,6169727444,1,1,"(0.5000122785568237, 0.705398678779602)","(0.47628992795944214, 0.6767549514770508)",1,1,3.740386962890625,3.480865478515625,"(-39.589149475097656, -9.27489185333252, 682.740966796875)","(26.250534057617188, -8.896871566772461, 680.1556396484375)","(0.27497950196266174, 71.47811126708984, 15.374138832092285)","(-7.945693016052246, 76.72483825683594, 17.283742904663086)",POINT (0.4881511032581329 0.6910768151283264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841592409,6169744110,1,1,"(0.4966795742511749, 0.7124269008636475)","(0.4810985028743744, 0.6695653200149536)",1,1,3.748138427734375,3.4961700439453125,"(-39.596702575683594, -9.284208297729492, 682.6883544921875)","(26.238664627075195, -8.899662017822266, 680.1566162109375)","(-0.8799189925193787, 70.19072723388672, 14.905583381652832)","(-6.279320240020752, 78.041748046875, 17.763084411621094)",POINT (0.4888890385627747 0.6909961104393005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841609081,6169760782,1,1,"(0.5000423789024353, 0.6889103055000305)","(0.47985464334487915, 0.67807537317276)",1,1,3.76171875,3.4708404541015625,"(-39.58449172973633, -9.265090942382812, 682.6119995117188)","(26.246456146240234, -8.877806663513184, 680.1687622070312)","(0.28540492057800293, 74.498291015625, 16.473413467407227)","(-6.710379600524902, 76.48294067382812, 17.195762634277344)",POINT (0.4899485111236572 0.6834928393363953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841625749,6169777449,1,1,"(0.5022264719009399, 0.6541855931282043)","(0.4886626899242401, 0.6408923268318176)",1,1,3.751296997070313,3.4527587890625,"(-39.55693435668945, -9.215916633605957, 682.58935546875)","(26.268718719482422, -8.827425956726074, 680.166259765625)","(1.04228675365448, 80.85888671875, 18.788427352905273)","(-3.6580820083618164, 83.2938232421875, 19.67469024658203)",POINT (0.49544458091259 0.647538959980011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841642415,6169794115,1,1,"(0.4985978901386261, 0.6619197726249695)","(0.4863213300704956, 0.6562989354133606)",1,1,3.76422119140625,3.4579315185546875,"(-39.53943634033203, -9.220130920410156, 682.5396118164062)","(26.285480499267578, -8.83005142211914, 680.10107421875)","(-0.2151460200548172, 79.44219207763672, 18.2728328704834)","(-4.469433784484863, 80.47178649902344, 18.64752197265625)",POINT (0.4924596101045608 0.659109354019165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841659083,6169810782,1,1,"(0.5047166347503662, 0.6555927991867065)","(0.48441365361213684, 0.6625208854675293)",1,1,3.7918853759765625,3.4459991455078125,"(-39.527748107910156, -9.205451011657715, 682.5538940429688)","(26.304004669189453, -8.820796966552734, 679.9970703125)","(1.9052214622497559, 80.60110473632812, 18.69463539123535)","(-5.1305084228515625, 79.33207702636719, 18.23276138305664)",POINT (0.4945651441812515 0.6590568423271179),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841675750,6169827449,1,1,"(0.5005300045013428, 0.6566033363342285)","(0.4912307560443878, 0.6528820395469666)",1,1,3.773147583007813,3.4634552001953125,"(-39.50519561767578, -9.195642471313477, 682.5177001953125)","(26.328453063964844, -8.82346248626709, 680.04638671875)","(0.45439648628234863, 80.41600799560547, 18.627262115478516)","(-2.7681314945220947, 81.09765625, 18.875324249267578)",POINT (0.4958803802728653 0.6547426879405975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841692417,6169844115,1,1,"(0.500656247138977, 0.6448537707328796)","(0.48713019490242004, 0.6552985906600952)",1,1,3.800308227539064,3.46478271484375,"(-39.48015594482422, -9.181526184082031, 682.495361328125)","(26.355457305908203, -8.8201904296875, 680.1083374023438)","(0.4981391727924347, 82.56819152832031, 19.41057777404785)","(-4.189120769500732, 80.65498352050781, 18.714242935180664)",POINT (0.4938932210206986 0.6500761806964874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,16,357841709084,6169860782,1,1,"(0.5012316107749939, 0.6562826037406921)","(0.49922841787338257, 0.6680948138237)",1,1,3.783416748046875,3.4488067626953125,"(-39.46205139160156, -9.173043251037598, 682.5359497070312)","(26.380828857421875, -8.8236083984375, 680.18359375)","(0.697530210018158, 80.47477722167969, 18.64862060546875)","(0.0033401683904230595, 78.31110382080078, 17.861143112182617)",POINT (0.5002300143241882 0.662188708782196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
