,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,23,30,82712029544,899404052,1,1,"(0.454420804977417, 0.7188342809677124)","(0.42254355549812317, 0.69512939453125)",1,1,2.33294677734375,2.330291748046875,"(-42.987491607666016, -46.30252456665039, 590.4935302734375)","(23.070110321044922, -44.344486236572266, 595.7996826171875)","(-17.368419647216797, 68.86676025390625, 14.423687934875488)","(-28.38280487060547, 73.19615173339844, 15.999442100524902)",POINT (0.4384821802377701 0.7069818377494812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712046211,899420719,1,1,"(0.45628201961517334, 0.7083606719970703)","(0.4254953861236572, 0.6698749661445618)",1,1,2.302230834960937,2.271591186523437,"(-43.00206756591797, -46.30714416503906, 590.3941650390625)","(23.060894012451172, -44.35344314575195, 595.80029296875)","(-16.725330352783203, 70.77965545654297, 15.119853973388672)","(-27.362882614135742, 77.80854034423828, 17.678207397460938)",POINT (0.4408887028694153 0.689117819070816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712062885,899437392,1,1,"(0.4629639983177185, 0.7169545888900757)","(0.4218723475933075, 0.7001083493232727)",1,1,2.3381805419921875,2.332626342773437,"(-43.03635787963867, -46.317726135253906, 590.4090576171875)","(23.04391860961914, -44.36205291748047, 595.8410034179688)","(-14.41653823852539, 69.21009063720703, 14.54859447479248)","(-28.61473274230957, 72.28683471679688, 15.668418884277344)",POINT (0.442418172955513 0.7085314691066742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712079551,899454058,1,1,"(0.46872198581695557, 0.7244733572006226)","(0.41839179396629333, 0.6824702620506287)",1,1,2.34173583984375,2.2884979248046875,"(-43.08661651611328, -46.33891296386719, 590.5968627929688)","(23.02296257019043, -44.38023376464844, 595.96044921875)","(-12.42699909210205, 67.83685302734375, 14.048861503601074)","(-29.817344665527344, 75.50818634033203, 16.84090805053711)",POINT (0.4435568898916244 0.7034718096256256),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712096217,899470723,1,1,"(0.4696046710014343, 0.7182208895683289)","(0.42556625604629517, 0.6994127631187439)",1,1,2.32391357421875,2.31927490234375,"(-43.11237335205078, -46.344215393066406, 590.6519165039062)","(22.998838424682617, -44.39372253417969, 596.1192626953125)","(-12.122011184692383, 68.97880554199219, 14.46444034576416)","(-27.33839988708496, 72.41386413574219, 15.714707374572754)",POINT (0.4475854635238648 0.7088168263435364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712112886,899487392,1,1,"(0.47371360659599304, 0.72646164894104)","(0.433877170085907, 0.6796385049819946)",1,1,2.317611694335937,2.3080291748046875,"(-43.13787078857422, -46.33893585205078, 590.68798828125)","(22.97467041015625, -44.38592529296875, 596.2781372070312)","(-10.702275276184082, 67.47373962402344, 13.916627883911133)","(-24.466766357421875, 76.0253677368164, 17.029165267944336)",POINT (0.45379538834095 0.7030500769615173),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712129553,899504058,1,1,"(0.4718349575996399, 0.7174815535545349)","(0.4324333667755127, 0.7013012766838074)",1,1,2.3045654296875,2.33197021484375,"(-43.16362380981445, -46.33024215698242, 590.7429809570312)","(22.961040496826172, -44.3734130859375, 596.3787231445312)","(-11.351396560668945, 69.11383056640625, 14.513581275939941)","(-24.96562957763672, 72.06895446777344, 15.589140892028809)",POINT (0.4521341621875763 0.7093914151191711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712146220,899520725,1,1,"(0.4689735174179077, 0.7074398994445801)","(0.43337738513946533, 0.6666756868362427)",1,1,2.297760009765625,2.287567138671875,"(-43.17402648925781, -46.31945037841797, 590.839111328125)","(22.945322036743164, -44.34241485595703, 596.360107421875)","(-12.340094566345215, 70.94779968261719, 15.181103706359863)","(-24.639455795288086, 78.39286041259766, 17.890865325927734)",POINT (0.4511754512786865 0.6870577931404114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712162888,899537392,1,1,"(0.46471744775772095, 0.7255292534828186)","(0.4295063614845276, 0.709813117980957)",1,1,2.3359832763671875,2.3136749267578125,"(-43.191123962402344, -46.30039596557617, 590.759033203125)","(22.921680450439453, -44.31901550292969, 596.2821044921875)","(-13.810674667358398, 67.64402770996094, 13.978609085083008)","(-25.97698402404785, 70.51436614990234, 15.023341178894043)",POINT (0.4471119046211243 0.7176711857318878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,23,30,82712179557,899554061,1,1,"(0.46987104415893555, 0.7031880021095276)","(0.4218553900718689, 0.7214468121528625)",1,1,2.2967987060546875,2.304443359375,"(-43.22904968261719, -46.274593353271484, 590.871337890625)","(22.89067840576172, -44.278873443603516, 596.223876953125)","(-12.029973983764648, 71.72435760498047, 15.463747024536133)","(-28.62059211730957, 68.38961791992188, 14.250022888183594)",POINT (0.4458632171154022 0.7123174071311951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
