,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,40,5,2810974849,2896837296,1,1,"(0.5028334259986877, 0.8200072050094604)","(0.5182875394821167, 0.8162168860435486)",1,1,3.408935546875,3.411849975585937,"(-60.96064376831055, -61.43886184692383, 655.8857421875)","(-2.2546305656433105, -61.68655014038086, 656.0684814453125)","(1.25260329246521, 50.485111236572266, 7.733327865600586)","(6.60802698135376, 51.17939758300781, 7.985979080200195)",POINT (0.5105604827404022 0.8181120455265045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2810991515,2896853962,1,1,"(0.5011734962463379, 0.8263953328132629)","(0.5214640498161316, 0.8094654083251953)",1,1,3.4146881103515625,3.4007568359375,"(-60.8084831237793, -61.44674301147461, 655.9746704101562)","(-2.1014630794525146, -61.722808837890625, 656.1883544921875)","(0.6773882508277893, 49.31498718261719, 7.307443141937256)","(7.708799362182617, 52.41607666015625, 8.436104774475098)",POINT (0.5113187730312347 0.8179303705692291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811008182,2896870629,1,1,"(0.5040993690490723, 0.8198060393333435)","(0.5173057913780212, 0.8162381649017334)",1,1,3.4188385009765625,3.420501708984375,"(-60.66031265258789, -61.47610092163086, 656.1473388671875)","(-1.9512745141983032, -61.79192352294922, 656.39111328125)","(1.6913074254989624, 50.521968841552734, 7.746730327606201)","(6.267822742462158, 51.17549514770508, 7.984557151794434)",POINT (0.5107025802135468 0.8180221021175385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811024850,2896887296,1,1,"(0.5001703500747681, 0.8290899991989136)","(0.5133498311042786, 0.8162011504173279)",1,1,3.41339111328125,3.40789794921875,"(-60.52393341064453, -61.49489974975586, 656.3060302734375)","(-1.816031813621521, -61.84136962890625, 656.5582885742188)","(0.3297618627548218, 48.82139587402344, 7.127800941467285)","(4.896925926208496, 51.182273864746094, 7.987069606781006)",POINT (0.5067600905895233 0.8226455748081207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811041522,2896903968,1,1,"(0.5045804977416992, 0.8288450241088867)","(0.519109308719635, 0.8100448846817017)",1,1,3.43011474609375,3.4182586669921875,"(-60.40229034423828, -61.52238845825195, 656.4729614257812)","(-1.6876018047332764, -61.88694763183594, 656.7140502929688)","(1.8580150604248047, 48.86628723144531, 7.1440887451171875)","(6.89280366897583, 52.30992126464844, 8.397462844848633)",POINT (0.5118449032306671 0.8194449543952942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811058189,2896920634,1,1,"(0.504899263381958, 0.8243968486785889)","(0.5161470770835876, 0.8163129687309265)",1,1,3.42578125,3.4249725341796875,"(-60.287845611572266, -61.5308837890625, 656.6522216796875)","(-1.5675098896026611, -61.92189025878906, 656.8695068359375)","(1.9685105085372925, 49.681053161621094, 7.440649032592773)","(5.866274356842041, 51.16178512573242, 7.97960090637207)",POINT (0.5105231702327728 0.8203549087047577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811074856,2896937301,1,1,"(0.5031742453575134, 0.8339225649833679)","(0.5180268287658691, 0.8103642463684082)",1,1,3.4264678955078125,3.415130615234375,"(-60.181007385253906, -61.544700622558594, 656.7811279296875)","(-1.4626885652542114, -61.9488639831543, 656.9890747070312)","(1.3707243204116821, 47.936222076416016, 6.805592060089111)","(6.517685890197754, 52.25141143798828, 8.376228332519531)",POINT (0.5106005370616913 0.8221434056758881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811091523,2896953967,1,1,"(0.49415597319602966, 0.8258280158042908)","(0.5271588563919067, 0.8168519139289856)",1,1,3.4249725341796875,3.4176025390625,"(-60.081756591796875, -61.54872512817383, 656.8956909179688)","(-1.3762696981430054, -61.958683013916016, 657.0609741210938)","(-1.7544537782669067, 49.41891098022461, 7.345232009887695)","(9.682269096374512, 51.06306076049805, 7.943695545196533)",POINT (0.5106574147939682 0.8213399648666382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,5,2811108190,2896970634,1,1,"(0.3994797468185425, 0.5393578410148621)","(0.4526340365409851, 0.5209550857543945)",1,1,3.416610717773437,3.4435272216796875,"(-60.10493469238281, -61.22502517700195, 657.1695556640625)","(-1.5044879913330078, -61.605979919433594, 657.3582153320312)","(-34.56321716308594, 101.89199829101562, 26.443939208984375)","(-16.143314361572266, 105.26288604736328, 27.67076301574707)",POINT (0.4260568916797638 0.5301564633846283),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,40,5,2811124858,2896987301,1,1,"(0.4021930992603302, 0.27576160430908203)","(0.433811217546463, 0.275638222694397)",1,1,3.396469116210937,3.410125732421875,"(-60.058433532714844, -60.80823516845703, 657.5291748046875)","(-1.6027162075042725, -61.19350051879883, 657.858642578125)","(-33.62294006347656, 150.17526245117188, 44.01757049560547)","(-22.66610336303711, 150.1978759765625, 44.02577209472656)",POINT (0.4180021584033966 0.2756999135017395),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
