,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,15,21,935062172754,3520625444,1,1,"(0.4900098741054535, 0.7960817813873291)","(0.4252679646015167, 0.7803632616996765)",1,1,3.291595458984375,3.355865478515625,"(-44.829349517822266, -30.959571838378906, 628.8851318359375)","(22.389293670654297, -33.36432647705078, 623.2869873046875)","(-5.071500301361084, 54.75853729248047, 9.28870964050293)","(-27.441452026367188, 57.629310607910156, 10.33356761932373)",POINT (0.4576389193534851 0.7882225215435028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062189420,3520642110,1,1,"(0.4847589135169983, 0.7999426126480103)","(0.43478721380233765, 0.7714437246322632)",1,1,3.270111083984375,3.356796264648437,"(-44.795799255371094, -30.961084365844727, 628.8234252929688)","(22.404016494750977, -33.37242889404297, 623.7279052734375)","(-6.885834693908691, 54.05341339111328, 9.032051086425781)","(-24.152326583862305, 59.258365631103516, 10.926504135131836)",POINT (0.459773063659668 0.7856931686401367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062206088,3520658777,1,1,"(0.4917614459991455, 0.7835695147514343)","(0.43457719683647156, 0.7768406271934509)",1,1,3.2911834716796875,3.3526611328125,"(-44.819297790527344, -30.94892120361328, 629.0631103515625)","(22.388364791870117, -33.339271545410156, 624.1824951171875)","(-4.466276168823242, 57.04375457763672, 10.120402336120605)","(-24.22489356994629, 58.2726936340332, 10.567706108093262)",POINT (0.4631693214178085 0.7802050709724426),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062222755,3520675444,1,1,"(0.4853423833847046, 0.8173884153366089)","(0.43840491771698, 0.7691416144371033)",1,1,3.294769287109375,3.38104248046875,"(-44.81935119628906, -30.84832000732422, 629.3275756835938)","(22.37906837463379, -33.26847457885742, 624.6155395507812)","(-6.684243679046631, 50.86715316772461, 7.8723602294921875)","(-22.902305603027344, 59.67881393432617, 11.079499244689941)",POINT (0.4618736505508423 0.7932650148868561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062239429,3520692118,1,1,"(0.48599132895469666, 0.7945364117622375)","(0.44187846779823303, 0.7715048789978027)",1,1,3.338119506835937,3.4029541015625,"(-44.86199951171875, -30.777286529541016, 629.62109375)","(22.35306739807129, -33.19049835205078, 624.973876953125)","(-6.4600090980529785, 55.04079818725586, 9.391402244567871)","(-21.702125549316406, 59.2471923828125, 10.922411918640137)",POINT (0.4639348983764648 0.7830206453800201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062256096,3520708784,1,1,"(0.4878873825073242, 0.8138000965118408)","(0.43156781792640686, 0.7769591808319092)",1,1,3.33343505859375,3.41925048828125,"(-44.921722412109375, -30.63849639892578, 630.0870361328125)","(22.316261291503906, -33.05633544921875, 625.0623168945312)","(-5.804874897003174, 51.52251052856445, 8.110884666442871)","(-25.264707565307617, 58.25103759765625, 10.55986213684082)",POINT (0.4597276002168655 0.795379638671875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062272763,3520725451,1,1,"(0.48814940452575684, 0.7771662473678589)","(0.43919381499290466, 0.7678231000900269)",1,1,3.339340209960937,3.4342193603515625,"(-44.97165298461914, -30.551124572753906, 630.0363159179688)","(22.252399444580078, -32.95317077636719, 625.39208984375)","(-5.714339733123779, 58.213233947753906, 10.546037673950195)","(-22.629730224609375, 59.919612884521484, 11.167177200317383)",POINT (0.4636716097593308 0.7724946737289429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062289431,3520742118,1,1,"(0.49158361554145813, 0.8028205633163452)","(0.43600994348526, 0.7762386202812195)",1,1,3.35821533203125,3.4505157470703125,"(-45.0438346862793, -30.39543342590332, 630.0808715820312)","(22.168733596801758, -32.82695770263672, 625.5380859375)","(-4.527722358703613, 53.52779769897461, 8.840703010559082)","(-23.72983169555664, 58.38261032104492, 10.607789039611816)",POINT (0.4637967795133591 0.7895295917987823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062306098,3520758785,1,1,"(0.5076162219047546, 0.7768088579177856)","(0.45734724402427673, 0.7542882561683655)",1,1,3.379791259765625,3.4622039794921875,"(-45.11897659301758, -30.227359771728516, 630.23583984375)","(22.10723114013672, -32.659088134765625, 625.5311279296875)","(1.0119297504425049, 58.27848815917969, 10.569819450378418)","(-16.357269287109375, 62.39158248901367, 12.066906929016113)",POINT (0.4824817329645157 0.7655485570430756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,21,935062322765,3520775451,1,1,"(0.5012404322624207, 0.763264000415802)","(0.4505794048309326, 0.7522574067115784)",1,1,3.395294189453125,3.49896240234375,"(-45.19385528564453, -30.084842681884766, 629.9486083984375)","(21.987749099731445, -32.514007568359375, 625.6267700195312)","(-1.1910539865493774, 60.752262115478516, 11.47024154663086)","(-18.695730209350586, 62.76249694824219, 12.20185375213623)",POINT (0.4759099185466766 0.7577607035636902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
