,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,56,22,58997585261,773890900,1,1,"(0.48227381706237793, 0.5870081186294556)","(0.48656317591667175, 0.6702330708503723)",1,1,2.593109130859375,3.0260162353515625,"(-36.20027542114258, 64.2881851196289, 607.5887451171875)","(31.427797317504883, 61.24224853515625, 610.316162109375)","(-7.744494438171387, 92.9430923461914, 23.186723709106445)","(-6.2624125480651855, 77.74313354492188, 17.654417037963867)",POINT (0.4844184964895248 0.6286205947399139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997601929,773907567,1,1,"(0.4840303361415863, 0.5884268879890442)","(0.48661690950393677, 0.670226514339447)",1,1,2.5971832275390625,3.0502471923828125,"(-36.19087219238281, 64.24102783203125, 607.5689697265625)","(31.447078704833984, 61.18547821044922, 610.2845458984375)","(-7.137577533721924, 92.6839599609375, 23.092432022094727)","(-6.243853569030762, 77.74435424804688, 17.654813766479492)",POINT (0.4853236228227615 0.6293267011642456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997618595,773924233,1,1,"(0.4763714373111725, 0.5776622891426086)","(0.4880467653274536, 0.6463806629180908)",1,1,2.5977935791015625,3.0336456298828125,"(-36.18952941894531, 64.17027282714844, 607.5084228515625)","(31.447805404663086, 61.09639358520508, 610.1490478515625)","(-9.783918380737305, 94.64996337890625, 23.808000564575195)","(-5.749800205230713, 82.09947967529297, 19.239980697631836)",POINT (0.482209101319313 0.6120214760303497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997635263,773940900,1,1,"(0.47884780168533325, 0.5737047791481018)","(0.49170762300491333, 0.6653003096580505)",1,1,2.6277313232421875,3.058380126953125,"(-36.19893264770508, 64.081298828125, 607.4549560546875)","(31.44521141052246, 61.00597381591797, 610.0349731445312)","(-8.928277015686035, 95.37275695800781, 24.071056365966797)","(-4.484879970550537, 78.64404296875, 17.982301712036133)",POINT (0.4852777123451233 0.6195025444030762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997651929,773957566,1,1,"(0.4735580086708069, 0.5844880938529968)","(0.48907122015953064, 0.6507400870323181)",1,1,2.63494873046875,3.05224609375,"(-36.22148132324219, 63.96275329589844, 607.3953857421875)","(31.426816940307617, 60.87006378173828, 609.9442138671875)","(-10.7560396194458, 93.4033432006836, 23.354223251342773)","(-5.395838260650635, 81.30328369140625, 18.950157165527344)",POINT (0.4813146144151688 0.6176140904426575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997668597,773974233,1,1,"(0.47281697392463684, 0.566938579082489)","(0.4930485188961029, 0.6544292569160461)",1,1,2.616683959960937,3.0703887939453125,"(-36.257118225097656, 63.823951721191406, 607.2747802734375)","(31.385305404663086, 60.69093704223633, 609.6693115234375)","(-11.012073516845703, 96.60851287841797, 24.52082633972168)","(-4.0215582847595215, 80.62950134277344, 18.704946517944336)",POINT (0.4829327464103699 0.6106839179992676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58997685265,773990901,1,1,"(0.4595416784286499, 0.4811548888683319)","(0.4807163178920746, 0.550911545753479)",1,1,2.635345458984375,3.06610107421875,"(-36.315086364746094, 63.7562255859375, 607.0849609375)","(31.284265518188477, 60.64577865600586, 609.667236328125)","(-15.599034309387207, 112.27577209472656, 30.22324562072754)","(-8.2826566696167, 99.53563690185547, 25.586223602294922)",POINT (0.4701289981603622 0.5160332173109055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,22,58997701932,774007567,1,1,"(0.42972975969314575, 0.20379039645195007)","(0.4517787992954254, 0.3283437490463257)",1,1,2.565216064453125,3.0954132080078125,"(-36.40906524658203, 63.915916442871094, 607.2169189453125)","(31.057918548583984, 60.7931022644043, 609.4718017578125)","(-25.899803161621094, 162.93272399902344, 48.660884857177734)","(-18.28130340576172, 140.18470764160156, 40.381256103515625)",POINT (0.4407542794942856 0.2660670727491379),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,22,58997718599,774024234,1,1,"(0.4241528809070587, 0.13232779502868652)","(0.4506547749042511, 0.22182238101959229)",1,1,2.5618133544921875,3.05963134765625,"(-36.46859359741211, 63.87401580810547, 607.1580200195312)","(30.967906951904297, 60.730018615722656, 609.2109985351562)","(-27.82674789428711, 175.9844207763672, 53.41130828857422)","(-18.669673919677734, 159.63941955566406, 47.462215423583984)",POINT (0.4374038279056549 0.1770750880241394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,22,58997735266,774040900,1,1,"(0.42716068029403687, 0.14372244477272034)","(0.45029816031455994, 0.23089133203029633)",1,1,2.5877838134765625,3.06732177734375,"(-36.57060241699219, 63.589080810546875, 606.7254028320312)","(30.927522659301758, 60.441375732421875, 608.80322265625)","(-26.78748321533203, 173.90335083007812, 52.65382766723633)","(-18.792898178100586, 157.98309326171875, 46.85934066772461)",POINT (0.4387294203042984 0.1873068884015083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,22,58997751934,774057568,1,1,"(0.42548123002052307, 0.14702953398227692)","(0.4464147090911865, 0.21957330405712128)",1,1,2.58294677734375,3.0442352294921875,"(-36.688194274902344, 63.38428497314453, 606.5079956054688)","(30.858448028564453, 60.2590217590332, 608.6546630859375)","(-27.36777687072754, 173.2993621826172, 52.43400573730469)","(-20.134733200073242, 160.05018615722656, 47.61168670654297)",POINT (0.4359479695558548 0.1833014190196991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,22,58997768601,774074234,1,1,"(0.42927324771881104, 0.1215343102812767)","(0.4476477801799774, 0.21723417937755585)",1,1,2.6182861328125,3.028167724609375,"(-36.81951904296875, 63.21451950073242, 606.1998901367188)","(30.78249168395996, 60.11061096191406, 608.3330078125)","(-26.057537078857422, 177.95571899414062, 54.1287956237793)","(-19.70866584777832, 160.47738647460938, 47.767208099365234)",POINT (0.4384605139493942 0.1693842448294163),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,22,58997901943,774207574,1,1,"(0.535560667514801, 0.9514819383621216)","(0.3843783736228943, 0.43744805455207825)",1,1,2.20166015625,2.4518585205078125,"(-38.459449768066406, 62.98927688598633, 604.970947265625)","(29.369056701660156, 60.16936492919922, 606.9891967773438)","(10.667442321777344, 26.376754760742188, -1.0414352416992188)","(-41.56985092163086, 120.25827026367188, 33.12860107421875)",POINT (0.4599695205688477 0.6944649964570999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997935279,774240909,1,1,"(0.36262941360473633, 0.14082233607769012)","(0.40364107489585876, 0.06564942002296448)",1,1,2.4928131103515625,2.9641265869140625,"(-38.834228515625, 63.05793762207031, 604.560302734375)","(28.94190788269043, 60.35441970825195, 606.6672973632812)","(-49.08465576171875, 174.4330291748047, 52.84661102294922)","(-34.914100646972656, 188.162353515625, 57.843685150146484)",POINT (0.3831352442502976 0.1032358780503273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58997951951,774257580,1,1,"(0.3654382526874542, 0.051007289439439774)","(0.3937340974807739, 0.11552616208791733)",1,1,2.6084136962890625,2.863494873046875,"(-39.04929733276367, 63.20645523071289, 604.6329345703125)","(28.743011474609375, 60.5462760925293, 606.744384765625)","(-48.1141471862793, 190.8365478515625, 58.81703186035156)","(-38.33721160888672, 179.0530242919922, 54.52817916870117)",POINT (0.3795861750841141 0.0832667257636786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58997968616,774274245,1,1,"(0.3700603246688843, 0.07259725034236908)","(0.3903844952583313, 0.12780964374542236)",1,1,2.5498504638671875,2.872161865234375,"(-39.254119873046875, 63.3677864074707, 604.6954345703125)","(28.534143447875977, 60.75569152832031, 606.6902465820312)","(-46.5171012878418, 186.8934326171875, 57.381858825683594)","(-39.49457931518555, 176.80960083007812, 53.71163558959961)",POINT (0.3802224099636078 0.1002034470438957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58997985284,774290912,1,1,"(0.37249302864074707, 0.09758581966161728)","(0.39677467942237854, 0.12926697731018066)",1,1,2.505523681640625,2.8511199951171875,"(-39.45484924316406, 63.537811279296875, 604.8142700195312)","(28.328990936279297, 60.990779876708984, 606.7479248046875)","(-45.67654037475586, 182.32958984375, 55.72079086303711)","(-37.28660583496094, 176.54344177246094, 53.61475372314453)",POINT (0.3846338540315628 0.113426398485899),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998001950,774307578,1,1,"(0.36301442980766296, 0.09347078949213028)","(0.39043062925338745, 0.13299348950386047)",1,1,2.536102294921875,2.863037109375,"(-39.65428161621094, 63.71754837036133, 604.99365234375)","(28.126216888427734, 61.2400016784668, 606.877197265625)","(-48.95163345336914, 183.0811309814453, 55.994285583496094)","(-39.4786376953125, 175.8628387451172, 53.36705017089844)",POINT (0.3767225295305252 0.1132321394979954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998018618,774324245,1,1,"(0.36409783363342285, 0.0898546427488327)","(0.388332724571228, 0.119545578956604)",1,1,2.525054931640625,2.8943634033203125,"(-39.82902526855469, 63.90098571777344, 605.0209350585938)","(27.933181762695312, 61.47870635986328, 607.0449829101562)","(-48.577293395996094, 183.74159240722656, 56.234676361083984)","(-40.203521728515625, 178.3189239501953, 54.26100158691406)",POINT (0.3762152791023254 0.1047001108527184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998035287,774340914,1,1,"(0.3642390966415405, 0.08260923624038696)","(0.39229750633239746, 0.11753644049167633)",1,1,2.524032592773437,2.8797607421875,"(-40.0196533203125, 64.10009765625, 605.253662109375)","(27.747764587402344, 61.73418045043945, 607.2747802734375)","(-48.528472900390625, 185.06484985351562, 56.7163200378418)","(-38.83360290527344, 178.6858673095703, 54.394554138183594)",POINT (0.378268301486969 0.1000728383660316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
