,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,20,7,177345330996,3511454610,1,1,"(0.33842524886131287, 0.045346327126026154)","(0.3410363793373108, 0.10798173397779465)",1,1,3.1621856689453125,2.778778076171875,"(-58.52725601196289, -37.046546936035156, 721.3469848632812)","(4.042572975158691, -27.769227981567383, 719.5790405273438)","(-57.44781494140625, 191.8704376220703, 59.193363189697266)","(-56.545616149902344, 180.430908203125, 55.02969741821289)",POINT (0.3397308140993118 0.0766640305519104),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345347662,3511471276,1,1,"(0.3416939675807953, 0.04904681071639061)","(0.3415547013282776, 0.11892030388116837)",1,1,3.161956787109375,2.7922821044921875,"(-58.49616241455078, -37.035396575927734, 721.236083984375)","(4.073891639709473, -27.770051956176758, 719.3646240234375)","(-56.318389892578125, 191.19459533691406, 58.94736099243164)","(-56.366519927978516, 178.43312072753906, 54.302574157714844)",POINT (0.3416243344545364 0.0839835572987795),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345364331,3511487944,1,1,"(0.32988429069519043, 0.056997302919626236)","(0.3373869061470032, 0.11111672967672348)",1,1,3.1677398681640625,2.789398193359375,"(-58.498817443847656, -37.02497100830078, 721.2794189453125)","(4.075031757354736, -27.762107849121094, 719.3072509765625)","(-60.398921966552734, 189.74253845214844, 58.418827056884766)","(-57.80659103393555, 179.85833740234375, 54.82130432128906)",POINT (0.3336355984210968 0.0840570162981749),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345380997,3511504610,1,1,"(0.30100229382514954, 0.06497938185930252)","(0.30865293741226196, 0.08132985234260559)",1,1,3.195068359375,2.729705810546875,"(-58.547462463378906, -37.0217399597168, 721.2858276367188)","(3.9925217628479004, -27.764278411865234, 719.4650268554688)","(-70.37838745117188, 188.28472900390625, 57.888221740722656)","(-67.73490905761719, 185.29852294921875, 56.80133819580078)",POINT (0.3048276156187058 0.0731546171009541),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345397668,3511521280,1,1,"(0.29242876172065735, 0.05020838975906372)","(0.3006226718425751, 0.09000550210475922)",1,1,3.15869140625,2.745834350585937,"(-58.53923416137695, -37.00127410888672, 721.2867431640625)","(4.011818885803223, -27.751293182373047, 719.4364624023438)","(-73.34077453613281, 190.9824676513672, 58.87013626098633)","(-70.50955200195312, 183.71400451660156, 56.22466278076172)",POINT (0.2965257167816162 0.0701069459319115),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345414334,3511537946,1,1,"(0.29812532663345337, 0.05358096584677696)","(0.2947671711444855, 0.1071222573518753)",1,1,3.1855010986328125,2.7697906494140625,"(-58.520896911621094, -36.994407653808594, 721.231689453125)","(4.040237903594971, -27.749814987182617, 719.322509765625)","(-71.37244415283203, 190.36648559570312, 58.645957946777344)","(-72.53279113769531, 180.587890625, 55.08678436279297)",POINT (0.2964462488889694 0.0803516115993261),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345431002,3511554613,1,1,"(0.29279908537864685, 0.05498439446091652)","(0.2989595830440521, 0.0994236022233963)",1,1,3.1898345947265625,2.7439422607421875,"(-58.497947692871094, -36.966548919677734, 721.1630859375)","(4.064168930053711, -27.724260330200195, 719.1505737304688)","(-73.21281433105469, 190.1101837158203, 58.55266189575195)","(-71.08419036865234, 181.9939422607422, 55.59858322143555)",POINT (0.2958793342113495 0.0772039983421564),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345447669,3511571280,1,1,"(0.2940126657485962, 0.05132921040058136)","(0.2944336533546448, 0.1112031564116478)",1,1,3.164337158203125,2.769149780273437,"(-58.493404388427734, -36.96830368041992, 721.10546875)","(4.0740203857421875, -27.741817474365234, 719.0794067382812)","(-72.79348754882812, 190.77774047851562, 58.795631408691406)","(-72.64802551269531, 179.84255981445312, 54.8155632019043)",POINT (0.2942231595516205 0.0812661834061146),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345464337,3511587947,1,1,"(0.2413121461868286, 0.0651465356349945)","(0.2558736801147461, 0.06311728060245514)",1,1,3.178192138671875,2.71234130859375,"(-58.576866149902344, -36.96775817871094, 721.0615234375)","(3.9572882652282715, -27.743675231933594, 719.1945190429688)","(-91.00284576416016, 188.2541961669922, 57.87712478637695)","(-85.97146606445312, 188.6248016357422, 58.01206588745117)",POINT (0.2485929131507874 0.0641319081187248),,,,,,,,,,,,,,,,,,,,,,,
0,20,7,177345481003,3511604613,1,1,"(0.2522062361240387, 0.05030792951583862)","(0.25647449493408203, 0.07882242649793625)",1,1,3.1443023681640625,2.7276611328125,"(-58.57588195800781, -36.98263931274414, 720.9448852539062)","(3.9358456134796143, -27.770586013793945, 719.108642578125)","(-87.23866271972656, 190.9642791748047, 58.863494873046875)","(-85.76387023925781, 185.7564697265625, 56.968013763427734)",POINT (0.2543403655290604 0.0645651780068874),,,,,,,,,,,,,,,,,,,,,,,
