,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,51,36,603584752094,8810226464,1,1,"(0.45922380685806274, 0.24186673760414124)","(0.4934423565864563, 0.1640181988477707)",1,1,2.627960205078125,2.87384033203125,"(-55.4091796875, -41.895408630371094, 687.1031494140625)","(0.7857193946838379, -42.49843215942383, 686.3074340820312)","(-15.708856582641602, 155.9785919189453, 46.129764556884766)","(-3.88547945022583, 170.19659423828125, 51.30470275878906)",POINT (0.4763330817222595 0.202942468225956),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584768762,8810243131,1,1,"(0.45274192094802856, 0.2530650198459625)","(0.4897201955318451, 0.16960495710372925)",1,1,2.6468505859375,2.881072998046875,"(-55.44895935058594, -41.8663215637207, 687.201171875)","(0.7418538331985474, -42.46205139160156, 686.17822265625)","(-17.948516845703125, 153.933349609375, 45.38543701171875)","(-5.171584129333496, 169.17625427246094, 50.93330001831055)",POINT (0.4712310582399368 0.2113349884748459),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,36,603584785429,8810259798,1,1,"(0.4665960669517517, 0.2325761765241623)","(0.4911362826824188, 0.16770200431346893)",1,1,2.6229400634765625,2.880828857421875,"(-55.58290100097656, -41.91770935058594, 687.62841796875)","(0.664771318435669, -42.45904541015625, 685.918212890625)","(-13.161561965942383, 157.67539978027344, 46.747318267822266)","(-4.682300567626953, 169.52378845214844, 51.05984115600586)",POINT (0.4788661748170853 0.2001390904188156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584802096,8810276464,1,1,"(0.46271029114723206, 0.2529315948486328)","(0.4923381507396698, 0.17280445992946625)",1,1,2.6142120361328125,2.878402709960937,"(-55.63125228881836, -41.89082717895508, 687.302978515625)","(0.5931925773620605, -42.43846130371094, 686.1254272460938)","(-14.50419807434082, 153.95774841308594, 45.39421081542969)","(-4.267016887664795, 168.5919189453125, 50.7205924987793)",POINT (0.4775242209434509 0.2128680273890495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,36,603584818768,8810293136,1,1,"(0.4566590189933777, 0.23518460988998413)","(0.49210116267204285, 0.17268973588943481)",1,1,2.63824462890625,2.8779754638671875,"(-55.71571350097656, -41.94332504272461, 687.394287109375)","(0.509580671787262, -42.45201873779297, 686.2044677734375)","(-16.595060348510742, 157.19900512695312, 46.57392501831055)","(-4.34891414642334, 168.61285400390625, 50.7282600402832)",POINT (0.4743800908327103 0.2039371728897095),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584835435,8810309802,1,1,"(0.46558794379234314, 0.2381306290626526)","(0.4924081563949585, 0.16920192539691925)",1,1,2.6228485107421875,2.851165771484375,"(-55.83272171020508, -41.942115783691406, 687.4267578125)","(0.40739864110946655, -42.39952087402344, 685.91796875)","(-13.509891510009766, 156.66091918945312, 46.37818145751953)","(-4.242822647094727, 169.24984741210938, 50.96013641357422)",POINT (0.4789980500936508 0.2036662772297859),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584852102,8810326469,1,1,"(0.4570710062980652, 0.22045312821865082)","(0.4859764575958252, 0.17406274378299713)",1,1,2.630157470703125,2.870452880859375,"(-55.90166091918945, -41.9646110534668, 687.1767578125)","(0.33040887117385864, -42.44070053100586, 686.2818603515625)","(-16.452713012695312, 159.88949584960938, 47.55324172973633)","(-6.465150356292725, 168.3621063232422, 50.63695526123047)",POINT (0.4715237319469452 0.197257936000824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584868770,8810343136,1,1,"(0.4637945592403412, 0.23303990066051483)","(0.4890848994255066, 0.18404200673103333)",1,1,2.627182006835937,2.866455078125,"(-56.05029296875, -41.968833923339844, 687.7327270507812)","(0.2229194939136505, -42.39332580566406, 686.1002197265625)","(-14.12955379486084, 157.5906982421875, 46.71651077270508)","(-5.391096591949463, 166.53952026367188, 49.973602294921875)",POINT (0.4764397293329239 0.2085409536957741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,36,603584885436,8810359802,1,1,"(0.4515444338321686, 0.22146864235401154)","(0.4909079670906067, 0.18295441567897797)",1,1,2.6306610107421875,2.8634796142578125,"(-56.098297119140625, -41.9716796875, 687.142578125)","(0.12465955317020416, -42.397457122802734, 686.2044067382812)","(-18.362276077270508, 159.70404052734375, 47.485694885253906)","(-4.761181831359863, 166.7381591796875, 50.045894622802734)",POINT (0.4712262004613876 0.2022115290164948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,51,36,603584902105,8810376470,1,1,"(0.4560762643814087, 0.22730091214179993)","(0.4900735020637512, 0.16695347428321838)",1,1,2.6110992431640625,2.843231201171875,"(-56.21607208251953, -41.9581298828125, 687.5460205078125)","(0.03973951190710068, -42.34678649902344, 686.15283203125)","(-16.796415328979492, 158.6388397216797, 47.09804153442383)","(-5.049511909484863, 169.66049194335938, 51.109619140625)",POINT (0.47307488322258 0.1971271932125092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
