,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723490992,2286342339,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723507665,2286359012,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723524333,2286375679,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723540998,2286392345,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723557666,2286409012,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723574332,2286425678,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723590999,2286442345,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723607666,2286459012,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723624336,2286475681,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723641001,2286492347,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723657669,2286509014,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,30,"{'x': 560.1396571238213, 'y': 456.1638427618537, 'elapsedTime': 110709.60000002384}",757723674334,2286525680,POINT (0.2917394047519902 0.4223739284831979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
