,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441437973561,1941414529,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441437990228,1941431195,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438006895,1941447862,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438023563,1941464529,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438040232,1941481198,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438056900,1941497865,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438073566,1941514532,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438090233,1941531198,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438106900,1941547865,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438123568,1941564532,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438140234,1941581198,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
0,49,30,"{'x': 678.4499897037726, 'y': 236.11171740764348, 'elapsedTime': 46440.89999997616}",441438156902,1941597865,POINT (0.3533593696373816 0.2186219605626329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
