,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254456153,2033538033,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254472819,2033554699,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254489485,2033571364,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254506152,2033588031,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254522817,2033604695,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254539486,2033621364,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254556153,2033638030,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254572820,2033654697,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254589488,2033671364,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254606155,2033688031,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254622823,2033704698,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254639489,2033721364,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254656156,2033738030,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254672830,2033754704,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254689498,2033771371,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254706165,2033788038,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254722832,2033804704,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254739499,2033821371,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254756167,2033838038,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9254772831,2033854702,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
